Sample:	All_female	All_male	All_wtr
gbr.1.103.t1	7.744031799	4.408803987	5.21032367
gbr.1.11.t1	35.53608595	40.39885988	24.9501763
gbr.1.144.t1	54.87838486	55.96605864	34.46339688
gbr.1.148.t1	7.661339642	9.277445122	2.648711309
gbr.1.150.t1	4000.785162	1842.640288	223.2541179
gbr.1.156.t1	6.432272246	5.346833605	3.661811266
gbr.1.177.t1	155.9841113	195.3439928	65.0164492
gbr.1.189.t1	20.62560425	17.02154858	14.73045182
gbr.1.211.t1	54.39006896	35.29200887	17.46342864
gbr.1.22.t1	16.38962102	17.91825932	8.081448812
gbr.1.39.t1	4.100226294	3.473890201	2.654879841
gbr.1.53.t1	8.819443669	11.52187897	7.814739917
gbr.1.62.t1	7.455942906	8.454516468	5.14426068
gbr.1.7.t1	14.24211988	13.17407427	9.182421026
gbr.10.1.t1	23.47052052	21.2677289	14.96301855
gbr.10.104.t1	11.52552083	10.22841008	6.812718742
gbr.10.117.t1	15.90331356	14.44392284	3.954994263
gbr.10.17.t1	8.625228054	11.01827339	4.933314785
gbr.10.26.t1	95.37982867	79.25086212	83.66792317
gbr.10.27.t1	75.87645421	96.72663584	68.86842534
gbr.10.3.t1	5.071409459	4.185489377	2.198580104
gbr.10.30.t1	2.935529887	4.39575486	2.119386535
gbr.10.31.t1	3.501873468	3.035066506	1.72662606
gbr.100.16.t1	8.371614881	7.03006437	1.337448919
gbr.100.53.t1	24.85355639	27.07602785	17.41605812
gbr.100.54.t1	18.56116145	18.93738933	14.15939001
gbr.101.27.t1	11.41402959	10.93546528	6.429310089
gbr.101.39.t1	12.11514117	12.0252987	7.21881012
gbr.101.9.t1	2.718499996	3.073804808	2.441471997
gbr.102.10.t1	14.48664719	15.4204761	11.29776517
gbr.102.3.t1	3.289419362	4.0625619	2.886596199
gbr.102.33.t1	17.33295802	18.37858117	12.51610914
gbr.102.38.t1	8.789650362	9.418239878	4.21491521
gbr.103.26.t1	13.15846664	13.90365783	7.982161147
gbr.103.3.t1	9.498194071	7.692138714	5.461406846
gbr.104.21.t1	16.70324042	9.965255958	4.36026208
gbr.104.23.t1	591.1491794	268.6295324	46.0537033
gbr.104.4.t1	13.82749747	20.38584983	16.99512657
gbr.104.49.t1	37.51995676	47.68261976	24.92723375
gbr.104.58.t1	22.77060901	21.25993678	5.742559333
gbr.1049.2.t1	22.76662593	15.09642919	11.02372012
gbr.105.1.t1	184.1104861	273.0843674	84.77746749
gbr.105.25.t1	3.027231536	3.528893831	1.071166114
gbr.105.28.t1_gbr.105.26.t1	18.2580921	21.41680952	16.31435579
gbr.105.35.t1	9.250977449	12.50477513	8.68212813
gbr.105.37.t1	2.599044385	3.707622895	2.020264644
gbr.106.26.t1	1.762248393	1.044153639	0.536795622
gbr.106.35.t1	4.80793322	4.834577695	5.493163616
gbr.106.41.t1	42.00234813	17.32045938	1.382092806
gbr.107.2.t1	1.813792455	2.465421509	0.971378163
gbr.107.24.t1	29.47380131	27.97522501	26.73962791
gbr.107.28.t1	40.23023923	37.99939353	30.39854749
gbr.107.29.t1	3.328284016	4.042469502	2.096335303
gbr.108.17.t1	52.60886281	69.14880187	35.43936597
gbr.108.21.t1_gbr.108.19.t1	5.47817198	6.320476576	4.873883278
gbr.108.26.t1_gbr.108.27.t1	23.56282373	29.38154089	11.8947688
gbr.108.30.t1	18.76040517	20.61281027	14.56159579
gbr.108.31.t1	55.42990924	63.63841398	35.35044388
gbr.109.14.t1	12.79438065	13.25859224	8.767328983
gbr.109.19.t1	32.47666419	34.033647	19.69733084
gbr.109.26.t1	2.77091076	3.818876644	1.891012144
gbr.109.29.t1	28.89334469	31.32187323	25.84477292
gbr.109.30.t1	4.660195541	4.958246483	3.396133717
gbr.11.114.t1	31.7207325	38.37251165	23.94932048
gbr.11.115.t1	321.2744076	298.0293641	233.578025
gbr.11.122.t1	372.6512275	466.4389278	268.3467238
gbr.11.125.t1	4.811880386	4.808829103	2.668358395
gbr.11.138.t1	200.6436627	191.0603716	117.2264935
gbr.11.143.t1	103.4007784	150.3195074	86.73400475
gbr.11.171.t1	32.66155378	43.88421629	49.59609694
gbr.11.186.t1	45.87448444	39.76364823	30.09433738
gbr.11.37.t1	11.58934065	12.97173519	13.94281395
gbr.11.55.t1_gbr.11.57.t1	8.559628101	11.86973287	8.294871885
gbr.11.70.t1	196.4027154	188.644963	177.8785344
gbr.110.10.t1	1504.185433	1433.439412	915.7568451
gbr.110.13.t1	5.16334327	5.133350769	3.123104001
gbr.110.4.t1	60.27180122	87.50074478	37.74345263
gbr.110.59.t1	8.131510267	7.593270007	6.38909939
gbr.110.6.t1	17.89974552	9.744500589	4.689547033
gbr.110.65.t1	2.119501527	1.414511208	1.457278106
gbr.110.67.t1	39.86422295	16.14468578	3.67893479
gbr.110.82.t1	28.19468478	32.78505309	23.56521719
gbr.110.86.t1	16.68663978	17.22687458	14.92999825
gbr.111.11.t1	7.069877112	7.67919681	3.270385324
gbr.111.14.t1_gbr.111.16.t1	9.370474481	10.27273152	6.909017201
gbr.111.15.t1	5.575285088	9.48324944	4.114319226
gbr.111.39.t1	69.28890016	75.59468201	50.38673181
gbr.111.51.t1	259.3157735	244.5989156	166.7911561
gbr.111.57.t1	5.209756306	5.887578137	3.341735379
gbr.112.14.t1	3.629501711	3.666944886	0.997586318
gbr.112.17.t1	58.18836475	55.371483	43.58476554
gbr.112.29.t1	51.29912992	47.95766813	30.29701211
gbr.112.36.t1	11.07831623	5.985060423	3.76753796
gbr.112.42.t1	4.705543468	7.648943379	4.224853623
gbr.112.6.t1	3.300075491	4.516336523	1.813329925
gbr.112.9.t1	9.737367414	11.76435957	8.284936107
gbr.113.1.t1	67.68501542	76.84221707	35.82860412
gbr.113.11.t1	62.28460889	68.77855814	45.79630516
gbr.113.2.t1	6.708745419	7.394396734	4.134641385
gbr.113.23.t1_gbr.113.24.t1	13.76150854	16.92308455	8.508088262
gbr.113.6.t1	27.13585623	30.04207378	16.24094693
gbr.113.7.t1	4.389272556	5.967797085	5.524043753
gbr.114.13.t1	5.071815017	10.39163099	4.741130407
gbr.114.16.t1	2.822709449	6.160207648	1.319848372
gbr.114.3.t1	12.78758521	13.7048853	10.19480092
gbr.114.9.t1	8.132427926	9.263131609	4.608783979
gbr.115.4.t1	12.19933818	12.7132684	8.213225146
gbr.115.7.t1	4.691885204	3.994947659	2.72333111
gbr.116.36.t1	11.00107726	14.38139843	9.677033532
gbr.116.6.t1	10.50798594	12.40819753	9.696439253
gbr.117.19.t1	8.346395003	7.045613792	5.335933148
gbr.117.45.t1	120.8117122	125.9342591	63.11807875
gbr.117.6.t1_gbr.117.7.t1	9.078259016	8.95967245	6.396209988
gbr.118.10.t1	17.021525	14.49829852	8.494711971
gbr.118.13.t1	6.996459874	6.662652716	5.688521303
gbr.118.4.t1	1.928600201	1.779454056	1.548371921
gbr.119.25.t1	246.9191465	280.5165817	179.3296461
gbr.119.30.t1	4.398189072	3.872043127	3.475638925
gbr.12.115.t1	6.120220474	6.182635019	5.530955108
gbr.12.121.t1	3.5596898	1.67728324	0.308751369
gbr.12.122.t1	8025.1304	3668.824756	1251.809323
gbr.12.21.t1	5.156701686	5.685428304	5.11332964
gbr.12.26.t1	4.585311099	4.906812147	1.945891034
gbr.12.34.t1	4.171899063	4.570772055	2.539926255
gbr.12.68.t1	10.14700775	9.647399315	8.215033642
gbr.12.74.t1	6.6858084	7.309445947	3.821474177
gbr.12.76.t1	7.787443746	8.789122163	6.100327856
gbr.12.94.t1_gbr.12.95.t1	36.40423764	38.25235968	29.14076139
gbr.120.12.t1_gbr.120.14.t1_gbr.120.11.t1	7.284648566	7.684215327	4.99411182
gbr.120.19.t1_gbr.120.20.t1	2.295033247	2.740542036	2.105800033
gbr.120.30.t1_gbr.120.31.t1	13.75939	14.71221082	8.992107354
gbr.120.33.t1	9.568047887	11.55273715	6.671374051
gbr.120.36.t1	1.690489498	1.466878622	1.019394427
gbr.120.44.t1	7.802866433	7.083492646	6.437066823
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	4.154239137	4.920429978	3.526328838
gbr.121.22.t1	13.41728568	16.20548749	4.979900051
gbr.121.35.t1	5.233678036	5.613174112	7.755803322
gbr.121.6.t1	6.086419405	2.944947124	1.891260315
gbr.122.8.t1_gbr.122.9.t1	3.380110883	3.4635425	2.27968828
gbr.123.1.t1	26.45158234	30.01483281	24.02468916
