Sample:	Cof	Com	Cow
gbr.26.59.t1	5.314233907	5.793259439	16.62034777
gbr.198.25.t1_gbr.198.26.t1	9328.721515	1514.704806	16506.4685
gbr.8.129.t1	3.224891368	2.249561102	7.215641323
gbr.236.13.t1	123.8866429	18.32090458	199.6564119
gbr.5.77.t1	1.033373759	0.366332147	0.982552464
gbr.197.35.t1	0.665994141	0.106795418	0.168597877
gbr.44.72.t1	10.51477026	7.113787471	2.215279936
gbr.505.7.t1	10.27731337	10.58846652	10.5371998
gbr.146.10.t1	8.966797052	5.134443201	16.45789979
gbr.11.171.t1	5.506501497	2.519548875	8.016364168
gbr.25.50.t1	114.4240762	84.27598159	165.2732391
gbr.11.37.t1	4.808035536	2.051833644	2.170789855
gbr.471.8.t1	6.049590423	1.17214273	3.703830634
gbr.106.35.t1	2.376853571	1.564126469	0.789503068
gbr.121.35.t1	2.054567794	0.77836763	1.866179122
gbr.55.53.t1	8.640020146	2.49638148	0.31968724
gbr.564.3.t1	99.72985047	17.50457121	8.174141366
gbr.6.22.t1	6.059821599	1.466139808	10.68025794
gbr.19.87.t1	1.525483391	1.070171376	0.652621165
gbr.69.43.t1	54.96163931	85.33025058	51.09769995
gbr.11.55.t1_gbr.11.57.t1	12.12032156	10.18464594	4.054612816
gbr.12.21.t1	2.344037617	1.289707845	2.550188565
gbr.184.13.t1	0.640078103	0.223070563	0.225028973
gbr.114.13.t1	0.446777689	0.066534078	0
gbr.44.49.t1_gbr.44.50.t1	17.64160793	25.0093388	12.59958396
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	0.436794963	0.179541436	0.162721323
gbr.57.28.t1	0	0	0
gbr.76.47.t1	0.807317593	0.841025982	0.604279364
gbr.64.22.t1	9.140320509	4.368131049	12.94639202
gbr.89.33.t1	99.57622474	125.8046291	46.74299378
gbr.187.19.t1	0.963140281	0.715537041	0.236755188
gbr.264.2.t1	3.436283079	1.730853338	0.369504784
gbr.315.21.t1	104.0937808	135.3617228	83.27318098
gbr.39.23.t1	4.999695129	1.314723317	2.189924972
gbr.157.35.t1	0.798616476	0.620958977	0.903881489
gbr.230.7.t1	0.151697759	0.459170699	0.802812414
gbr.105.35.t1	5.749046446	6.600684799	1.470987772
gbr.28.32.t1	3.975304089	1.734534582	4.427773836
gbr.112.42.t1	0.373073002	0.116543632	0.229211077
gbr.139.81.t1	1.908014752	0.7863292	1.713887646
gbr.72.69.t1	26.05040689	25.67735336	26.40178429
gbr.233.10.t1	2.878135994	4.250745724	0.65784884
gbr.6.231.t1	9.309570556	3.733301573	10.42412114
gbr.4.87.t1	3.055590513	1.052882896	1.446518674
gbr.143.25.t1	3.202608273	1.927400593	2.897335769
gbr.53.110.t1	1.967800603	1.10874655	1.165196042
gbr.255.15.t1	1.330371505	0.681175316	1.238285506
gbr.21.55.t1	3.172234323	1.398850913	2.400476949
gbr.90.46.t1	1.86588004	0.677493541	0.912501324
gbr.207.27.t1	4.397431224	2.205837212	6.734373008
gbr.359.4.t1	0.700894055	0.106411244	0.688965119
gbr.38.1.t1	2.706486002	0.614067388	0
gbr.114.16.t1	0.1372879	0.292700486	0
gbr.220.10.t1	0.624895792	0.276358196	0.48180884
gbr.65.58.t1	1.019454694	0.306420777	0.650711411
gbr.239.2.t1	1.730284153	2.0556345	0.897322068
gbr.32.13.t1	3.30112056	0.528610801	1.342186779
gbr.182.62.t1	2.313730384	0.369043256	0.701095538
gbr.48.50.t1	1.99197268	0.785384066	0.613032808
gbr.7.107.t1	23.89789842	27.14501164	13.27412701
gbr.3.81.t1	2.291465219	1.603701302	0.654974713
gbr.37.71.t1	0.243466733	0.173131836	0.233583269
gbr.116.6.t1	8.30486335	4.336358291	2.714291709
gbr.120.19.t1_gbr.120.20.t1	1.309011597	1.23639671	1.669527109
gbr.7.69.t1	10.43859494	10.0400741	2.722221677
gbr.202.8.t1	0.193896016	0.185949269	0.080668554
gbr.116.36.t1	6.958650655	3.270978415	5.867439609
gbr.438.2.t1	1.300574469	0.639362512	0.850241986
gbr.127.15.t1	0.616178791	0.463918948	0.752516914
gbr.191.38.t1_gbr.191.40.t1	2.061125202	0.745898458	1.156239734
gbr.237.26.t1	3.213073058	0.64681396	1.617801644
gbr.295.2.t1	1.205011185	0.700764996	0.569587383
gbr.379.5.t1	5.145639023	1.384620411	0.630545441
gbr.1.53.t1	2.813871402	1.3847262	1.700238726
gbr.111.15.t1	1.582821513	1.080592458	0.188389236
gbr.84.65.t1	7.34402583	0.943814857	2.647583925
gbr.11.143.t1	73.21320825	53.95247338	117.2172797
gbr.5.106.t1	0.021659634	0.173042779	0.405048184
gbr.56.109.t1_gbr.56.107.t1	2.140289123	1.629088561	1.551172926
gbr.10.27.t1	9.049851841	22.41505628	46.73920518
gbr.13.3.t1	1.595603534	1.035679309	1.947128882
gbr.16.66.t1	3.392663475	1.79711643	0.717090262
gbr.67.5.t1	17.95216792	8.658067143	6.685804138
gbr.151.28.t1_gbr.151.29.t1	2.610252559	1.049065201	1.935331852
gbr.256.15.t1	0.253050795	0.080886932	0.233144107
gbr.379.8.t1	69.35760505	49.21155411	55.71091821
gbr.475.5.t1	33.4251382	16.73934457	6.739925548
gbr.25.166.t1	17.9579258	20.42024148	3.4141332
gbr.331.6.t1	1.75850614	0.843410586	1.192041101
gbr.17.17.t1	1.686683148	1.529265123	0.638914251
gbr.32.4.t1	2.144900642	0.31881854	0.770208045
gbr.4.88.t1	1.529378359	1.561841183	1.126319566
gbr.88.43.t1	21.63335166	19.36180046	6.504472456
gbr.36.29.t1	1.600459226	1.077310998	0.373645488
gbr.363.4.t1	1.358729224	0.145738439	0.209083494
gbr.92.6.t1	30.17806769	31.36935667	9.808132016
gbr.329.2.t1_gbr.329.3.t1	3.63661839	5.400474671	3.342532948
gbr.564.4.t1	7.75074717	1.456328052	0
gbr.409.4.t1	81.99861296	90.11640553	85.36407052
gbr.183.49.t1	0.438310709	0.155889871	0.112898226
gbr.48.14.t1_gbr.48.15.t1	2.110729454	1.573689048	1.544434701
gbr.67.22.t1	2.505069088	1.301657185	0.911583409
gbr.159.18.t1	3.082250055	2.657312254	2.224308244
gbr.54.48.t1	2.978191725	1.258618335	1.061423823
gbr.458.3.t1_gbr.458.4.t1	5.200638435	4.182735676	6.85840663
gbr.21.1.t1	7.572007288	6.526291914	3.136505087
gbr.38.22.t1	0	0	0
gbr.32.106.t1	5.831238773	3.146070648	1.118817085
gbr.5.12.t1	226.7206975	333.7486325	231.5549931
gbr.3.3.t1	0.079789095	0.191135362	0
gbr.43.13.t1	7.605007513	5.167161046	2.463493119
gbr.54.47.t1	2.440537856	0.569782144	0.7482065
gbr.149.6.t1	1.184633312	0.869256203	1.067701487
gbr.204.24.t1	5.951672823	7.297362949	10.39344908
gbr.93.40.t1	15.98775374	10.0299432	11.7895432
gbr.110.4.t1	40.03160593	45.22287716	25.50144791
gbr.375.8.t1	22.48281826	17.65698252	24.6789254
gbr.81.204.t1	0.596627498	1.855811712	0.33938427
gbr.31.93.t1	3.388474328	0.447222011	0.510989806
gbr.109.26.t1	0.885436231	0.304721811	0.21280852
gbr.163.9.t1_gbr.163.10.t1	4.831445281	2.80478275	3.599825927
gbr.2.233.t1	0.116766071	0.367812577	0
gbr.134.40.t1	51.44217597	50.75668276	43.647708
gbr.140.35.t1	33.01461388	36.28696176	25.32700186
gbr.181.33.t1	43.84154087	40.75136821	33.72177435
gbr.4.113.t1	1.760595354	0.820526319	0.950934305
gbr.58.118.t1	5.67138257	4.180765881	1.365536184
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	2.12450902	1.896010112	1.827405477
gbr.242.3.t1	6.82820552	7.95410418	2.282381406
gbr.27.43.t1	1.895513953	0.590528127	0.454156853
gbr.457.8.t1_gbr.457.9.t1	1.728823695	2.126558585	0.367369915
gbr.199.24.t1	9.093377847	10.88298708	8.78773579
gbr.324.16.t1	14.43483635	8.701190807	3.363376254
gbr.39.28.t1	5.990167971	7.152692776	6.756529272
gbr.86.7.t1	0	0	0
gbr.241.15.t1_gbr.241.16.t1	3.489605783	1.190109703	2.292989629
gbr.476.10.t1	8.843831824	3.039810449	1.291432737
gbr.27.55.t1	3200.877417	3507.149455	1599.34297
gbr.342.7.t1	8.757591003	10.28703423	5.797220114
gbr.411.1.t1	0.989954481	0.440126003	0.719054389
gbr.50.45.t1	29.41665745	14.36922227	11.05680734
gbr.70.63.t1	4.478984277	2.000363219	2.286786159
