Sample:	Paf	Pam	Paw
gbr.26.59.t1	59.49623886	56.12748718	91.39377866
gbr.198.25.t1_gbr.198.26.t1	483.6854418	329.9299803	507.4288032
gbr.8.129.t1	34.29294339	35.54150931	44.09931837
gbr.236.13.t1	1.821483111	2.733049812	3.809834598
gbr.5.77.t1	16.92655066	12.14756783	15.52819861
gbr.197.35.t1	2.531285652	2.868071525	2.754873714
gbr.44.72.t1	25.12269831	23.4720584	28.38557483
gbr.505.7.t1	23.37658467	23.67661376	24.79198042
gbr.146.10.t1	93.21962211	124.0335101	130.2698597
gbr.11.171.t1	136.3632299	191.6430937	202.5328791
gbr.25.50.t1	51.16381122	52.75943252	66.09979268
gbr.11.37.t1	34.42733947	44.18186214	47.77920329
gbr.471.8.t1	34.07688571	46.45130599	42.66431179
gbr.106.35.t1	10.21527389	12.47571204	11.26739304
gbr.121.35.t1	8.291512755	6.26746014	9.849160568
gbr.55.53.t1	15.27103316	18.14394631	28.97771019
gbr.564.3.t1	6252.19827	5580.916859	4679.110303
gbr.6.22.t1	4.752494777	7.818448958	11.37308832
gbr.19.87.t1	6.840591305	10.57741782	8.143236765
gbr.69.43.t1	78.17519272	84.86490145	94.19533348
gbr.11.55.t1_gbr.11.57.t1	8.451643987	12.90080644	11.11882399
gbr.12.21.t1	10.05945555	11.75747558	11.24004186
gbr.184.13.t1	2.886207037	2.809968255	3.252316354
gbr.114.13.t1	10.84346337	19.8988576	14.65786522
gbr.44.49.t1_gbr.44.50.t1	18.81833765	19.72721726	20.59731989
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	1.628773992	1.493603327	1.826798139
gbr.57.28.t1	3.730892469	5.061773147	4.068893601
gbr.76.47.t1	2.904739191	4.506085579	3.558886302
gbr.64.22.t1	22.95661201	38.68496017	22.57901751
gbr.89.33.t1	82.90521097	98.86228338	124.545219
gbr.187.19.t1	3.595260054	5.307527796	3.905674854
gbr.264.2.t1	24.75953149	29.66691488	19.06558226
gbr.315.21.t1	29.07087254	32.93587167	26.82634951
gbr.39.23.t1	25.94326547	28.07076495	29.09261064
gbr.157.35.t1	18.26957541	32.71784014	20.70708847
gbr.230.7.t1	12.80441448	15.50811532	13.21620935
gbr.105.35.t1	38.57879964	55.98349597	16.64160834
gbr.28.32.t1	1.871318379	5.52818277	0.79218003
gbr.112.42.t1	21.29488163	35.25666126	18.87457292
gbr.139.81.t1	24.07476649	26.26696886	27.31468623
gbr.72.69.t1	83.23993335	91.6775253	73.72625423
gbr.233.10.t1	6.731295202	7.38410433	8.712570824
gbr.6.231.t1	68.29629407	68.30864222	76.99008966
gbr.4.87.t1	14.80099088	13.79866022	13.07376041
gbr.143.25.t1	17.1892881	21.63835989	19.09578427
gbr.53.110.t1	12.88244418	24.57685084	9.291572143
gbr.255.15.t1	7.519277333	12.11061812	6.816534562
