Sample:	RNf	RNm	RNw
gbr.26.59.t1	20.13647732	34.04758159	15.32325895
gbr.198.25.t1_gbr.198.26.t1	25.60387582	26.97182943	47.44897373
gbr.8.129.t1	3.499624898	3.847155841	2.656083134
gbr.236.13.t1	48.1433528	58.00056531	7.116077613
gbr.5.77.t1	2.618436613	3.96227526	0.388757226
gbr.197.35.t1	0.971341987	0.736142633	0.043014415
gbr.44.72.t1	2.93496133	4.134929286	1.032076741
gbr.505.7.t1	9.757301228	9.660620309	4.759414842
gbr.146.10.t1	12.9316768	18.19777274	6.327067075
gbr.11.171.t1	9.107916783	13.0179405	0.718286613
gbr.25.50.t1	64.88004382	105.3774211	31.90413974
gbr.11.37.t1	6.284873464	7.872550304	1.799177928
gbr.471.8.t1	1.353059802	0.889254661	0.373277248
gbr.106.35.t1	3.040935908	2.448565732	0.575069676
gbr.121.35.t1	1.655529985	2.771357591	0.475249549
gbr.55.53.t1	1.822073658	3.28825054	0.803026449
gbr.564.3.t1	49.754611	97.61943619	1.265621859
gbr.6.22.t1	0.588172555	0.301687806	0.04478967
gbr.19.87.t1	1.78814557	2.802850162	0.207785054
gbr.69.43.t1	54.08966581	61.73686624	30.09420851
gbr.11.55.t1_gbr.11.57.t1	5.382602779	8.332690278	4.741237412
gbr.12.21.t1	2.630925972	0.545196357	0.658479565
gbr.184.13.t1	0.299127853	2.039758368	0.309174195
gbr.114.13.t1	5.159051191	17.31056531	0.500243996
gbr.44.49.t1_gbr.44.50.t1	7.358608372	14.78746686	3.294394704
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	2.166305294	3.17425633	1.694306333
gbr.57.28.t1	1.269464468	4.55010875	0.18593158
gbr.76.47.t1	1.113351734	2.829509292	0.075545871
gbr.64.22.t1	7.212120906	19.29948258	2.101858471
gbr.89.33.t1	40.11299263	52.38120059	35.34101201
gbr.187.19.t1	0.841301255	1.266322405	0.232456779
gbr.264.2.t1	1.903935467	4.346260297	0.192851261
gbr.315.21.t1	30.95018721	34.75815892	32.2127312
gbr.39.23.t1	14.82569361	27.53019458	5.214292908
gbr.157.35.t1	73.38142203	119.2731493	4.590343234
gbr.230.7.t1	0.631560761	1.261891694	0.16374723
