Sample:	STf	STm	STw
gbr.26.59.t1	19.82816075	13.1221266	19.70214737
gbr.198.25.t1_gbr.198.26.t1	15.47500161	14.39836951	5.963781457
gbr.8.129.t1	6.429829443	3.300215978	6.337436053
gbr.236.13.t1	1.382134978	1.394780615	1.013676505
gbr.5.77.t1	7.727192343	10.64658867	9.795338016
gbr.197.35.t1	1.90608338	2.254246744	3.020593639
gbr.44.72.t1	6.657374298	7.716140596	9.287331651
gbr.505.7.t1	19.07886433	19.58020626	21.72026745
gbr.146.10.t1	11.9697843	8.733613926	13.82183359
gbr.11.171.t1	8.622960286	13.20809353	10.47184565
gbr.25.50.t1	55.27928043	67.51994083	62.72128189
gbr.11.37.t1	8.748304813	9.112335283	8.379052146
gbr.471.8.t1	5.314445048	4.385638445	2.586430532
gbr.106.35.t1	4.897512329	5.784609272	4.589565682
gbr.121.35.t1	3.929083367	6.829208244	4.265318696
gbr.55.53.t1	3.140094726	1.739631831	2.70239557
gbr.564.3.t1	2364.247835	3030.733046	9487.351786
gbr.6.22.t1	0.373188473	0.935288742	1.026462895
gbr.19.87.t1	2.781718974	6.681239397	3.27830534
gbr.69.43.t1	86.85845182	98.19756735	101.1342526
gbr.11.55.t1_gbr.11.57.t1	13.28320334	18.28061337	14.25709473
gbr.12.21.t1	5.333447042	11.48745217	4.763633028
gbr.184.13.t1	1.86620345	2.59841839	2.175781108
gbr.114.13.t1	7.557731455	15.73641882	6.541000967
gbr.44.49.t1_gbr.44.50.t1	10.95719083	17.04011763	11.94292594
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	12.83866124	18.45845148	19.15906992
gbr.57.28.t1	2.313864137	4.364458538	4.26806891
gbr.76.47.t1	1.847114853	7.975724212	2.620815754
gbr.64.22.t1	11.96527178	18.16060293	9.213413609
gbr.89.33.t1	34.33768752	43.14625475	35.63265427
gbr.187.19.t1	1.890908347	3.616592058	1.812465669
gbr.264.2.t1	9.642917914	10.9439775	10.27306535
gbr.315.21.t1	87.23615777	99.30146396	106.1039178
gbr.39.23.t1	20.86030919	31.0624813	18.81540977
gbr.157.35.t1	42.45650351	57.21165369	84.73576586
gbr.230.7.t1	2.482863243	2.848735312	2.588538315
gbr.105.35.t1	0.044032687	1.0215492	0.130268454
gbr.28.32.t1	6.348794054	23.52729883	3.11928886
gbr.112.42.t1	0.944807916	1.289758429	0.468253564
gbr.139.81.t1	10.8593896	15.10110808	10.49759363
gbr.72.69.t1	33.7438593	57.70622107	34.86319663
gbr.233.10.t1	4.061356725	6.050050926	4.345886006
gbr.6.231.t1	45.61988305	56.35469421	46.19409199
gbr.4.87.t1	12.88127197	23.01242763	14.22939469
gbr.143.25.t1	8.314421467	8.219515854	6.965456265
gbr.53.110.t1	6.939282139	15.48799029	5.198589494
gbr.255.15.t1	3.015290532	8.517331647	3.543651845
gbr.21.55.t1	11.63487108	17.90194915	10.45391416
gbr.90.46.t1	4.490146244	4.410091285	4.653779521
gbr.207.27.t1	8.878291258	9.545524126	9.578608665
gbr.359.4.t1	1.096469117	2.983323866	2.200254531
gbr.38.1.t1	1.985356496	9.532853467	3.725038041
gbr.114.16.t1	0.507412101	0.806552989	1.21389273
gbr.220.10.t1	2.042234745	3.413208255	1.919838724
gbr.65.58.t1	6.816514185	8.289130254	7.755391752
gbr.239.2.t1	2.758687427	4.535093112	4.396503017
gbr.32.13.t1	15.95035024	37.1256346	19.40327524
gbr.182.62.t1	11.09059392	13.81155017	11.65324904
gbr.48.50.t1	2.493750547	3.232683867	2.448152353
gbr.7.107.t1	17.16609442	22.12284177	18.08486827
gbr.3.81.t1	3.771556306	6.224666829	2.709629148
gbr.37.71.t1	0.814741353	1.360317963	0.859401521
gbr.116.6.t1	11.36980038	13.54747965	9.277442778
gbr.120.19.t1_gbr.120.20.t1	2.430010837	3.36952213	2.006585811
gbr.7.69.t1	4.509991781	7.598406064	6.637831828
gbr.202.8.t1	2.243395418	4.000487117	1.903580953
gbr.116.36.t1	11.65970549	18.10176618	8.763563764
gbr.438.2.t1	5.059709422	8.715387677	5.654722862
gbr.127.15.t1	3.408359998	5.346967535	4.335873673
gbr.191.38.t1_gbr.191.40.t1	15.46800461	23.59386824	13.74782071
gbr.237.26.t1	7.615878739	12.28922851	6.090536674
gbr.295.2.t1	2.934905464	3.072142144	3.545258293
gbr.379.5.t1	10.20111812	20.16833986	9.201384345
gbr.1.53.t1	11.64191357	22.69529647	14.31704682
gbr.111.15.t1	8.584426276	16.01331943	12.47736986
gbr.84.65.t1	20.0015603	22.82554022	23.66378118
gbr.11.143.t1	100.5627151	127.7436711	105.4278204
gbr.5.106.t1	53.25866131	84.37467367	59.19742553
gbr.56.109.t1_gbr.56.107.t1	5.006340114	6.066521557	4.192824981
gbr.10.27.t1	63.27142364	47.22916644	40.82440848
gbr.13.3.t1	3.123061177	3.944963441	3.496255033
gbr.16.66.t1	9.746998824	10.83126949	9.153948685
gbr.67.5.t1	27.88418481	27.54435685	27.62518681
gbr.151.28.t1_gbr.151.29.t1	5.435883862	7.788507345	5.75997951
gbr.256.15.t1	5.123650033	8.117063177	6.328045207
gbr.379.8.t1	237.1162002	359.3615485	221.943898
gbr.475.5.t1	61.05049486	119.4270648	59.78658805
gbr.25.166.t1	21.79377407	42.55840951	35.27921618
gbr.331.6.t1	5.232455088	6.619533691	4.846413727
gbr.17.17.t1	10.04311913	13.36592598	10.54080597
gbr.32.4.t1	5.433293747	9.47206673	8.319997636
gbr.4.88.t1	2.595997856	6.084506381	3.451668851
gbr.88.43.t1	38.81579075	107.5364274	46.31649348
gbr.36.29.t1	2.374572691	4.625052376	2.69842718
gbr.363.4.t1	3.481753219	3.661670355	3.07141735
gbr.92.6.t1	37.79253208	50.01682708	40.31093157
gbr.329.2.t1_gbr.329.3.t1	8.209454028	9.897410092	7.866122759
gbr.564.4.t1	15.6909661	15.07446861	36.4591404
gbr.409.4.t1	154.3971233	212.2290717	153.150443
gbr.183.49.t1	1.528243797	2.947414717	2.013607816
gbr.48.14.t1_gbr.48.15.t1	10.22565274	15.99558013	10.47616751
gbr.67.22.t1	6.721087972	10.04594267	8.171326157
gbr.159.18.t1	9.197595242	15.72240574	8.686940296
gbr.54.48.t1	7.622940649	9.81812692	6.286579184
gbr.458.3.t1_gbr.458.4.t1	9.534972577	12.00685291	11.15333953
gbr.21.1.t1	11.0415448	19.01865356	7.307668866
gbr.38.22.t1	2.478443326	6.081319234	1.668979632
gbr.32.106.t1	11.35217793	12.46627669	6.738088585
gbr.5.12.t1	10.77213289	15.99774805	6.949619118
gbr.3.3.t1	3.908240118	2.422219548	3.804197218
gbr.43.13.t1	20.45057473	25.29046978	19.1328635
gbr.54.47.t1	8.659881571	15.17646111	10.26705941
gbr.149.6.t1	4.117051435	6.126249999	3.377159516
gbr.204.24.t1	5.997339717	11.09438962	2.336971159
gbr.93.40.t1	82.65746696	171.7678621	89.40162651
gbr.110.4.t1	54.5773146	70.42663664	36.06943645
gbr.375.8.t1	27.38207737	34.05983784	31.04793953
gbr.81.204.t1	4.737409773	7.499125489	5.574139908
gbr.31.93.t1	10.81077502	22.03978816	7.426596022
gbr.109.26.t1	3.53001748	6.766711357	3.914520592
gbr.163.9.t1_gbr.163.10.t1	33.79823083	44.14423636	30.59902707
gbr.2.233.t1	1.201756514	1.293179927	0.674245374
gbr.134.40.t1	143.0940585	147.402796	115.6537694
gbr.140.35.t1	41.05163896	50.48662628	38.98410366
gbr.181.33.t1	93.27322526	110.0700386	78.80618991
gbr.4.113.t1	8.701372126	10.43467031	6.440542941
gbr.58.118.t1	4.633472659	7.721082496	5.605140263
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	3.324236218	4.978389689	2.634882619
gbr.242.3.t1	27.13359898	37.32283646	16.46360991
gbr.27.43.t1	3.987953352	7.871587416	4.373657554
gbr.457.8.t1_gbr.457.9.t1	7.461320943	10.85832734	5.824431579
