Sample:	Skf	Skm	Skw
gbr.26.59.t1	57.72600043	43.3612307	65.90710552
gbr.198.25.t1_gbr.198.26.t1	1120.168383	954.1617059	800.9924836
gbr.8.129.t1	22.29004465	17.02448032	27.92544329
gbr.236.13.t1	8.827381599	4.24493981	10.00981978
gbr.5.77.t1	8.435639299	8.207506462	20.58256943
gbr.197.35.t1	0.666639533	0.942905639	2.318471515
gbr.44.72.t1	5.761103409	4.438858003	16.72469143
gbr.505.7.t1	21.81359073	21.01609327	29.2012951
gbr.146.10.t1	38.03181227	34.549835	62.85158865
gbr.11.171.t1	22.28084283	33.11609993	113.6942095
gbr.25.50.t1	76.42280033	57.93466756	109.6019156
gbr.11.37.t1	9.421904009	9.0494707	27.91924608
gbr.471.8.t1	15.05279099	13.2191697	28.80927303
gbr.106.35.t1	6.670519971	3.737505507	15.53159335
gbr.121.35.t1	9.431907808	8.153188372	31.33561141
gbr.55.53.t1	7.914107198	7.932914927	24.89217865
gbr.564.3.t1	97.58700616	158.1417752	464.9880494
gbr.6.22.t1	0.803227553	1.493567484	4.596416721
gbr.19.87.t1	2.551551354	6.062927668	4.026323284
gbr.69.43.t1	100.0612694	84.88740818	105.9088261
gbr.11.55.t1_gbr.11.57.t1	4.5979246	7.305522714	10.32641914
gbr.12.21.t1	6.3027916	4.375246202	13.2392644
gbr.184.13.t1	1.490831708	1.048306397	2.687885991
gbr.114.13.t1	2.822738805	4.922644012	7.415824264
gbr.44.49.t1_gbr.44.50.t1	16.4958515	17.39864114	29.38574299
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	8.96519514	10.95923171	9.036942437
gbr.57.28.t1	0.57422045	0.811325227	1.704572268
gbr.76.47.t1	2.043296338	2.532051511	3.007400688
gbr.64.22.t1	9.460868285	18.54770904	16.20809781
gbr.89.33.t1	57.70634966	48.47093297	54.51525495
gbr.187.19.t1	1.792431299	2.480101021	3.484634295
gbr.264.2.t1	3.201399756	12.10259946	13.71233227
gbr.315.21.t1	65.77683668	63.44270692	67.19103751
gbr.39.23.t1	16.94106776	13.00331832	25.64778412
gbr.157.35.t1	9.723284455	3.984344493	24.64499452
gbr.230.7.t1	1.81013181	1.445814233	3.241403174
gbr.105.35.t1	18.26717011	20.35471172	41.86035322
gbr.28.32.t1	1.384667005	79.20486562	0.564346346
gbr.112.42.t1	3.077149662	4.6127713	7.898435202
gbr.139.81.t1	12.66004211	11.57288214	19.24213639
gbr.72.69.t1	30.01983892	36.15944715	54.38032793
gbr.233.10.t1	3.072561625	3.482869166	5.609072522
gbr.6.231.t1	38.38981585	42.11121059	62.29319728
gbr.4.87.t1	4.367138717	4.011529164	6.778088232
gbr.143.25.t1	12.25296253	11.05711472	15.18879145
gbr.53.110.t1	8.23548618	5.81643046	10.09391014
gbr.255.15.t1	2.94118421	3.717018393	5.025332628
gbr.21.55.t1	13.49374555	13.99584213	20.33314293
gbr.90.46.t1	2.279383493	3.543376196	5.937888075
gbr.207.27.t1	4.913683501	5.224634594	8.125956919
gbr.359.4.t1	1.552125099	2.566785225	2.445404061
gbr.38.1.t1	1.635171853	8.841900843	2.114535869
gbr.114.16.t1	2.082178441	0.850638261	3.734376819
gbr.220.10.t1	2.07684461	2.571088754	4.050298495
gbr.65.58.t1	7.981824351	10.16306311	14.71031949
gbr.239.2.t1	3.383977507	2.151412289	4.360286209
