Sample:	Spf	Spm	Spw
gbr.26.59.t1	38.12943377	24.3577618	28.50233018
gbr.198.25.t1_gbr.198.26.t1	44.24045218	58.07132178	43.79329741
gbr.8.129.t1	13.85122326	10.2545061	9.581055954
gbr.236.13.t1	3.237340702	1.943299315	4.064312071
gbr.5.77.t1	9.662376112	8.47953095	3.155550854
gbr.197.35.t1	1.657689061	0.803086699	0.911606131
gbr.44.72.t1	7.519804702	8.093126076	2.335795091
gbr.505.7.t1	18.83885057	16.37985327	15.6702491
gbr.146.10.t1	37.91452735	28.50222917	19.5068698
gbr.11.171.t1	38.49568436	43.64281558	9.905931239
gbr.25.50.t1	88.55023546	120.9602778	79.44548875
gbr.11.37.t1	9.142457775	10.05865338	3.070470047
gbr.471.8.t1	5.068578253	8.415850758	1.253628024
gbr.106.35.t1	3.425746454	4.450292828	3.076012384
gbr.121.35.t1	6.105380166	6.561670687	1.819399365
gbr.55.53.t1	4.991052468	3.39861422	1.948026571
gbr.564.3.t1	1811.647957	1383.420183	260.4140778
gbr.6.22.t1	3.176971742	2.063596569	0.692209264
gbr.19.87.t1	5.458329554	9.838984106	5.202646023
gbr.69.43.t1	74.61948296	86.80755991	73.40815533
gbr.11.55.t1_gbr.11.57.t1	5.951459818	12.4761695	6.337932307
gbr.12.21.t1	5.73663562	4.957679517	0.86785196
gbr.184.13.t1	2.124269908	2.830877056	0.824838329
gbr.114.13.t1	0.590941044	0.578612626	1.34700709
gbr.44.49.t1_gbr.44.50.t1	17.90160238	26.72277548	11.43318098
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	9.729196398	11.23312912	11.40896525
gbr.57.28.t1	3.181019084	6.292756765	0.253727624
gbr.76.47.t1	4.839081546	8.010982817	2.654915656
gbr.64.22.t1	17.55853841	28.62695984	11.30300669
gbr.89.33.t1	44.43126554	69.9008961	59.0181217
gbr.187.19.t1	1.782685252	3.237375995	1.263792634
gbr.264.2.t1	7.689963909	13.51223057	2.68824339
gbr.315.21.t1	34.02556384	29.19955405	4.902666591
gbr.39.23.t1	20.50965381	24.85677245	15.58161909
gbr.157.35.t1	7.464716763	5.373189162	1.140142452
gbr.230.7.t1	2.531483244	2.668287198	0.383475152
gbr.105.35.t1	0.308701564	0.515157809	0.299115061
gbr.28.32.t1	1.719562541	30.46064959	1.995648969
gbr.112.42.t1	2.793736589	3.272769592	1.293920091
gbr.139.81.t1	8.846399387	7.126972254	3.960454079
gbr.72.69.t1	30.80751844	35.82973819	16.29013379
gbr.233.10.t1	3.824296181	5.510111973	2.330356193
gbr.6.231.t1	68.1883624	64.76967017	46.60074014
gbr.4.87.t1	8.6226971	11.45391906	3.269265413
gbr.143.25.t1	8.358949583	9.388618546	3.925865748
gbr.53.110.t1	9.121096615	15.41611778	2.059112007
gbr.255.15.t1	7.290850591	9.15558767	2.188838967
gbr.21.55.t1	7.781226456	11.22595768	3.517960328
gbr.90.46.t1	5.980815452	6.424713789	2.853649619
gbr.207.27.t1	8.931622769	17.74279577	3.086250427
gbr.359.4.t1	6.910019988	10.32915644	0.61083063
gbr.38.1.t1	7.565737034	6.62499092	0.67022644
gbr.114.16.t1	0.853737843	0.696398915	0.601221078
gbr.220.10.t1	3.929339522	5.332264294	2.057720627
gbr.65.58.t1	1.884117154	2.626922252	0.868077536
gbr.239.2.t1	1.734870347	2.509008088	0.869578169
gbr.32.13.t1	30.12632224	40.67753166	8.628274639
gbr.182.62.t1	7.301220706	6.904210475	2.395968437
gbr.48.50.t1	2.248050001	5.175178394	1.159433431
gbr.7.107.t1	19.1418219	28.04289254	13.7485485
gbr.3.81.t1	3.465535799	5.399788199	1.624918361
gbr.37.71.t1	2.520649804	2.585883828	3.252694587
gbr.116.6.t1	10.1578007	11.22973089	3.6205051
gbr.120.19.t1_gbr.120.20.t1	1.649176589	2.102008647	0.714128927
gbr.7.69.t1	2.673352911	3.746296457	0.855600269
gbr.202.8.t1	0.749966264	0.843694076	0.297794837
gbr.116.36.t1	9.908813102	9.134006401	3.356211001
gbr.438.2.t1	4.77098401	8.577790882	2.737504185
gbr.127.15.t1	3.196241059	2.778260226	1.555223143
gbr.191.38.t1_gbr.191.40.t1	7.138198161	8.252488259	2.390421098
gbr.237.26.t1	8.553228308	13.36958058	3.201870834
gbr.295.2.t1	1.784435356	0.817084309	0.663788343
gbr.379.5.t1	6.646091192	14.4376651	3.439440566
gbr.1.53.t1	12.56415064	12.36321701	2.941005315
gbr.111.15.t1	11.5754716	5.892884208	0.613683009
gbr.84.65.t1	29.41615256	22.3409255	5.92186999
gbr.11.143.t1	72.05823162	170.5634372	53.62097741
gbr.5.106.t1	3.443744482	3.018776922	1.693413256
gbr.56.109.t1_gbr.56.107.t1	4.495692114	7.685104318	2.120081093
gbr.10.27.t1	115.0002002	148.0463776	37.65106482
gbr.13.3.t1	4.112411825	4.132191728	1.614417669
gbr.16.66.t1	5.52583488	8.162227515	1.238410482
gbr.67.5.t1	38.93775933	86.36925303	18.88890975
gbr.151.28.t1_gbr.151.29.t1	2.56409526	2.980130734	1.898459284
gbr.256.15.t1	3.217255601	1.497294795	0.699305746
gbr.379.8.t1	184.3520212	233.4088255	87.35386181
gbr.475.5.t1	134.0092973	161.0578024	74.38512873
gbr.25.166.t1	37.49388928	56.30530367	20.14222928
gbr.331.6.t1	5.795329609	4.938183141	1.38879884
gbr.17.17.t1	7.228290508	12.52650704	3.002646768
gbr.32.4.t1	4.973118717	3.761448953	1.62837367
gbr.4.88.t1	4.623456325	6.032814977	1.079904491
gbr.88.43.t1	41.51468568	39.31671129	9.757016183
gbr.36.29.t1	2.933940137	3.882572878	1.396412247
gbr.363.4.t1	2.252702957	1.647641997	0.64741857
gbr.92.6.t1	21.2775274	27.86482479	6.030344269
gbr.329.2.t1_gbr.329.3.t1	9.849301251	11.23980817	4.181578989
gbr.564.4.t1	23.44007333	72.49220042	6.011676668
gbr.409.4.t1	197.6742237	244.7405457	128.1027048
gbr.183.49.t1	1.665889913	1.444944113	0.149019977
gbr.48.14.t1_gbr.48.15.t1	4.23898225	4.885578808	2.950514244
gbr.67.22.t1	10.11298247	13.46399291	5.125125813
gbr.159.18.t1	5.450199286	7.577708614	1.985497333
gbr.54.48.t1	9.445070716	10.36959401	2.582178598
gbr.458.3.t1_gbr.458.4.t1	7.170633603	10.1225703	8.308452851
gbr.21.1.t1	12.48530804	20.20291916	3.889611083
gbr.38.22.t1	4.938984207	6.217250721	0.549703793
gbr.32.106.t1	6.667750299	15.51500555	3.897758282
gbr.5.12.t1	58.55233666	30.17137617	32.39227062
gbr.3.3.t1	0.664948368	0.78498726	0.444117641
gbr.43.13.t1	20.63010786	23.75500532	7.322201401
gbr.54.47.t1	8.450957132	9.338353714	1.847210927
gbr.149.6.t1	2.706604116	3.703688104	1.816198164
gbr.204.24.t1	8.294155471	16.03243366	0.939861217
gbr.93.40.t1	68.68478333	64.24576524	76.82640538
gbr.110.4.t1	68.55986373	156.7922702	40.45752502
gbr.375.8.t1	21.69189068	27.16904877	17.22408503
gbr.81.204.t1	6.071632731	6.198075402	1.353304653
gbr.31.93.t1	5.502390879	3.289441504	1.885705449
gbr.109.26.t1	2.209706823	2.52203917	0.774097348
gbr.163.9.t1_gbr.163.10.t1	59.76384868	84.70597578	47.12593776
gbr.2.233.t1	6.183832309	10.55516762	0.079727274
gbr.134.40.t1	138.5145454	205.7009976	112.7419126
gbr.140.35.t1	48.00305284	54.41600863	22.73843178
gbr.181.33.t1	84.10722878	102.2059884	45.28460563
gbr.4.113.t1	6.981979354	6.02768797	4.082367006
gbr.58.118.t1	5.957212141	5.467272808	1.263806144
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	4.321948179	4.465570955	2.406445247
gbr.242.3.t1	24.82823451	54.55375251	10.88601144
gbr.27.43.t1	2.954508172	2.90934996	0.698953518
gbr.457.8.t1_gbr.457.9.t1	4.39065288	5.326153302	0.822585944
gbr.199.24.t1	17.31327301	18.70848754	6.16393644
gbr.324.16.t1	16.66428878	18.16381041	7.016334029
gbr.39.28.t1	11.73489573	14.63324126	8.120795065
gbr.86.7.t1	0.239712332	0	0.317175782
gbr.241.15.t1_gbr.241.16.t1	37.69962562	54.34487503	27.13956
gbr.476.10.t1	139.1817407	218.8619041	47.08990989
gbr.27.55.t1	3923.753517	5593.548638	2188.524764
gbr.342.7.t1	8.307305331	14.83812138	2.22940539
gbr.411.1.t1	6.253239887	6.675502826	2.149599559
gbr.50.45.t1	388.1361879	491.6950368	80.28646705
gbr.70.63.t1	4.118438201	3.900207112	1.319097713
gbr.17.35.t1	5.695054157	6.383915087	1.237548047
gbr.58.97.t1	3.971026994	6.558291265	0.890946161
gbr.39.70.t1	12.11651201	19.59887921	5.163270954
gbr.8.90.t1	1.338768749	1.03105336	0.200290503
gbr.157.34.t1	1.104587061	0.213355542	0.23864528
gbr.6.228.t1	9.696951377	9.300066477	4.445031925
gbr.330.9.t1	4.49071605	6.954129182	2.330569828
gbr.72.30.t1	17.13811378	15.53943681	5.744434191
