Sample:	TFf	TFm	TFw
gbr.26.59.t1	18.94273984	21.50291554	8.875099271
gbr.198.25.t1_gbr.198.26.t1	59.81088131	41.37210113	13.98536657
gbr.8.129.t1	5.306776794	4.490823888	1.905266352
gbr.236.13.t1	0.851256224	1.517994505	0.367493974
gbr.5.77.t1	6.527084839	6.468291234	3.887971674
gbr.197.35.t1	1.738406478	1.61262401	0.96731133
gbr.44.72.t1	5.267883777	3.281489615	4.596878287
gbr.505.7.t1	18.033774	15.29964873	15.28365339
gbr.146.10.t1	10.77103947	10.71270352	4.557851541
gbr.11.171.t1	8.253740804	10.0419219	1.833162322
gbr.25.50.t1	58.28787459	60.84787766	70.38404097
gbr.11.37.t1	8.29246945	8.475440867	6.481758325
gbr.471.8.t1	4.994620551	3.594306241	2.884887057
gbr.106.35.t1	3.028690419	3.38123202	2.62300811
gbr.121.35.t1	5.167764375	7.930966123	4.679704547
gbr.55.53.t1	3.530217321	1.423213839	1.194972676
gbr.564.3.t1	336.6257411	150.7741008	251.8151547
gbr.6.22.t1	0.696098594	0.674773142	0.1298453
gbr.19.87.t1	2.121949546	3.330665669	1.566726458
gbr.69.43.t1	85.97911849	92.72486438	78.37269291
gbr.11.55.t1_gbr.11.57.t1	10.13024062	13.60768182	7.227982797
gbr.12.21.t1	3.689618398	5.385240458	2.473848099
gbr.184.13.t1	1.624747356	2.345254598	1.359181582
gbr.114.13.t1	8.082001564	14.22778445	2.725971311
gbr.44.49.t1_gbr.44.50.t1	9.238743681	11.56212739	7.424560143
gbr.215.30.t1_gbr.215.33.t1_gbr.215.35.t1	25.04279422	25.64700174	16.06476236
gbr.57.28.t1	2.073057044	1.312810698	1.440646009
gbr.76.47.t1	1.787495231	3.567512439	1.255689923
gbr.64.22.t1	6.910402124	8.51159966	4.740711886
gbr.89.33.t1	59.98387751	58.62785638	54.40608378
gbr.187.19.t1	2.304608444	2.766735801	1.062314984
gbr.264.2.t1	5.060351757	8.563925309	4.676509307
gbr.315.21.t1	115.1917064	128.0567132	134.393243
gbr.39.23.t1	16.47010859	15.68010445	19.83020419
gbr.157.35.t1	31.5892363	40.30501829	34.16103183
gbr.230.7.t1	1.528354054	2.250949705	0.778125343
gbr.105.35.t1	0.907735188	0.848613708	0.158576594
gbr.28.32.t1	12.90677056	34.77719656	1.390122444
gbr.112.42.t1	0.884337385	1.301222748	0.515792481
gbr.139.81.t1	8.012585948	9.553362897	6.800862477
gbr.72.69.t1	27.53664535	39.18431634	24.15955441
gbr.233.10.t1	3.496284841	3.555439539	3.033156583
gbr.6.231.t1	38.55242274	40.88998222	44.21289674
gbr.4.87.t1	11.18449843	15.44085985	9.650297521
gbr.143.25.t1	5.764732433	5.574458865	5.705751757
gbr.53.110.t1	5.257149104	11.90897527	2.859008811
gbr.255.15.t1	4.89522214	4.893994976	2.611162708
gbr.21.55.t1	14.52570303	12.91647499	6.168280262
gbr.90.46.t1	2.46595691	2.738314518	1.693202303
gbr.207.27.t1	10.00467054	6.590119903	6.763785606
gbr.359.4.t1	0.243659284	1.502935827	0.069168109
gbr.38.1.t1	1.435545575	3.142375546	1.871148459
gbr.114.16.t1	0.988475556	0.40989002	0.495188195
gbr.220.10.t1	1.885632402	1.599566229	0.669024748
gbr.65.58.t1	9.430590555	7.900707732	2.889457307
gbr.239.2.t1	1.674028143	1.723021064	1.407719989
gbr.32.13.t1	29.43193943	20.61526362	9.039892931
gbr.182.62.t1	10.81055502	8.940994906	7.555621601
gbr.48.50.t1	2.566612103	3.043295385	1.099366453
gbr.7.107.t1	14.01378796	14.15380586	10.65289997
gbr.3.81.t1	3.186925479	3.940471559	1.764159665
gbr.37.71.t1	0.973053089	1.428496236	0.536210246
gbr.116.6.t1	8.313217837	11.8256442	5.501389579
gbr.120.19.t1_gbr.120.20.t1	1.929212743	2.19617982	1.381222342
gbr.7.69.t1	3.122243742	4.768233676	3.595555044
gbr.202.8.t1	0.604523012	0.960571159	0.443874715
gbr.116.36.t1	9.914918887	12.19550151	7.814554172
gbr.438.2.t1	6.715934825	6.632762832	4.434665775
gbr.127.15.t1	2.971206353	3.392458619	1.432986821
gbr.191.38.t1_gbr.191.40.t1	16.61634403	15.10634408	9.163072132
gbr.237.26.t1	7.321858586	7.571291818	2.636740472
gbr.295.2.t1	2.413703528	3.381675664	2.314480208
gbr.379.5.t1	15.17158363	20.27097538	10.08241531
gbr.1.53.t1	9.702297831	12.08455341	7.980544349
gbr.111.15.t1	2.306522914	7.062982817	0.725011644
gbr.84.65.t1	14.96272818	14.69577989	8.638116195
gbr.11.143.t1	155.0646416	209.9361673	97.42158222
gbr.5.106.t1	94.22903911	103.9317374	38.8588925
gbr.56.109.t1_gbr.56.107.t1	4.658398044	4.138076498	2.149305014
gbr.10.27.t1	40.27715609	35.34712433	25.52760653
gbr.13.3.t1	2.483841517	2.493792891	1.965931139
gbr.16.66.t1	4.954091942	5.307119714	2.894142456
gbr.67.5.t1	23.78842242	20.58478437	12.8388766
gbr.151.28.t1_gbr.151.29.t1	3.892948585	5.020821012	3.28487285
gbr.256.15.t1	3.114476705	3.701795432	2.60229559
gbr.379.8.t1	216.7110137	259.8565083	192.000778
gbr.475.5.t1	49.08850375	57.04274612	24.05359085
gbr.25.166.t1	34.22580274	29.25226868	19.24659056
gbr.331.6.t1	3.15060169	4.221998348	2.467500175
gbr.17.17.t1	8.796082407	8.364013211	6.367568987
gbr.32.4.t1	3.324459643	4.105765617	2.830389669
gbr.4.88.t1	3.247020787	4.13299173	1.629704994
gbr.88.43.t1	33.81404833	56.66461778	22.6353094
gbr.36.29.t1	2.232534994	2.597234837	1.42586741
gbr.363.4.t1	2.019983775	3.509232226	1.072520915
gbr.92.6.t1	21.2838545	26.31260573	14.93293456
gbr.329.2.t1_gbr.329.3.t1	5.167335562	6.298016299	4.404240058
gbr.564.4.t1	5.880625385	5.792009827	4.228442146
gbr.409.4.t1	140.2230097	173.3260249	130.872949
gbr.183.49.t1	1.516656017	1.585095486	1.128055551
gbr.48.14.t1_gbr.48.15.t1	21.66636029	23.62979817	15.91409082
gbr.67.22.t1	4.728030483	5.543364509	2.538412478
gbr.159.18.t1	13.10245799	14.62410476	6.713647087
gbr.54.48.t1	4.097200077	7.429426277	3.405985303
gbr.458.3.t1_gbr.458.4.t1	24.27669402	26.56269732	16.60573307
gbr.21.1.t1	9.93835665	15.01383148	4.924738411
gbr.38.22.t1	2.053875867	3.055553575	1.13000828
gbr.32.106.t1	12.06846096	11.24138482	3.721285352
gbr.5.12.t1	12.75603981	11.50380573	2.878493184
gbr.3.3.t1	1.34851452	0.423255919	0.638623968
gbr.43.13.t1	15.36933732	14.84982268	12.10999259
gbr.54.47.t1	6.094176791	9.747679275	3.95302314
gbr.149.6.t1	2.925549201	3.319766594	1.818489142
gbr.204.24.t1	8.661398189	12.05466556	2.580772442
gbr.93.40.t1	107.6312849	175.8067174	77.57529799
gbr.110.4.t1	68.03308186	64.31452855	37.96676359
gbr.375.8.t1	22.55021544	25.09151467	22.71238991
gbr.81.204.t1	4.187950833	4.38219104	1.783359763
gbr.31.93.t1	10.77522076	14.71171015	4.754405949
gbr.109.26.t1	5.580364575	6.086985418	2.634062912
gbr.163.9.t1_gbr.163.10.t1	14.89752831	16.95832498	14.12195437
gbr.2.233.t1	1.217681707	0.840570812	0.50016379
gbr.134.40.t1	98.95707628	117.9456648	92.04859516
gbr.140.35.t1	50.51648671	49.41950253	29.95605637
gbr.181.33.t1	105.3812701	121.8956748	69.54547638
gbr.4.113.t1	6.718619976	8.547539513	3.309866411
gbr.58.118.t1	4.184463449	4.982951159	3.054925729
gbr.121.21.t1_gbr.121.26.t1_gbr.121.29.t1	3.024981803	3.8707079	2.279365349
gbr.242.3.t1	50.92044525	63.89686617	12.62911816
gbr.27.43.t1	3.230894964	5.38550962	2.437951737
gbr.457.8.t1_gbr.457.9.t1	4.845188985	5.987663687	1.882476252
gbr.199.24.t1	10.60497418	11.2323168	7.569789507
gbr.324.16.t1	15.52475948	21.23737662	11.10305715
gbr.39.28.t1	12.97517588	13.93219427	9.457596001
gbr.86.7.t1	0.389774527	0.109610358	0.050673525
gbr.241.15.t1_gbr.241.16.t1	2.511122841	2.238345174	1.498712701
gbr.476.10.t1	28.32974739	52.61024141	16.93356709
gbr.27.55.t1	14156.85844	16116.38422	6757.709137
gbr.342.7.t1	10.46562795	16.92308191	2.557438747
gbr.411.1.t1	5.416264497	5.560524324	3.975109417
gbr.50.45.t1	588.5845858	690.8544348	322.2623797
gbr.70.63.t1	4.128801372	4.579571713	4.288360877
gbr.17.35.t1	4.27082375	4.923037837	1.646842775
gbr.58.97.t1	3.115203609	4.868894012	0.548149015
gbr.39.70.t1	14.2572418	15.49514128	8.457067759
gbr.8.90.t1	0.951099552	1.212632672	0.496241054
gbr.157.34.t1	4.366428057	3.801505167	2.029540965
gbr.6.228.t1	8.352960554	9.238426604	5.002126127
gbr.330.9.t1	2.28719131	3.596015296	1.717761946
gbr.72.30.t1	8.719363695	13.27703308	5.469926674
gbr.226.3.t1	22.38950436	26.9922258	10.29337747
gbr.47.67.t1	1.951532761	2.618174881	1.502215571
gbr.81.75.t1	7.986718271	10.72771082	1.946353628
gbr.110.82.t1	20.77672946	23.197001	17.00186434
gbr.284.23.t1	5.296551358	5.408181636	2.711512096
gbr.73.54.t1	0.78010333	0.820519503	0.354400217
gbr.302.18.t1	10.72741178	18.85072863	5.331751734
gbr.405.13.t1	637.303155	734.5027352	258.5240756
gbr.45.49.t1	8.803411584	8.762517928	4.218973476
gbr.167.19.t1	18.07608005	18.90680785	11.70800875
gbr.130.45.t1	45.71670337	41.70001279	39.945028
gbr.6.159.t1	27.24748581	26.32471017	12.13073144
gbr.409.1.t1	6.382869504	7.18204635	4.318028068
gbr.84.4.t1	10.03170214	9.901355483	4.730533479
gbr.172.41.t1	49.4411368	59.1000564	30.47440513
gbr.59.34.t1	4.751526221	5.152850295	3.315715564
gbr.108.17.t1	60.69376233	78.21501065	27.44172201
gbr.3.13.t1	35.4021589	36.59078735	25.94261686
gbr.360.11.t1	1.853817546	1.397363461	0.336900152
gbr.3.85.t1	7.27431987	8.556761298	5.129529617
gbr.32.56.t1	732.4620911	764.0352204	631.9333342
gbr.211.13.t1	3.03696029	3.945295629	2.186196827
gbr.270.3.t1	12.54040075	13.09350998	10.30804458
gbr.17.63.t1	102.4021955	98.19260206	91.01942851
gbr.343.15.t1	1.431168984	2.178777005	0.210667537
gbr.142.65.t1	6.312395169	6.93287135	2.871878385
