Sample:	TFf	TFm	TFw	STf	STm	STw	RNf	RNm	RNw	Paf	Pam	Paw	Skf	Skm	Skw	Spf	Spm	Spw	Cof	Com	Cow	All_female	All_male	All_wtr
gbr.1.103.t1	6.653329092	4.359412119	4.364254405	12.6531144	5.020417143	14.39555386	6.666214005	6.694151717	0.611095185	14.87983981	6.782952798	10.59937346	2.319776318	1.703899628	3.744701678	8.344189459	5.271520522	1.901140991	2.691759508	1.029273985	0.85614611	7.744031799	4.408803987	5.21032367
gbr.1.11.t1	36.11261762	35.51969084	21.78131269	38.04739126	45.50631487	33.50875208	22.70915483	38.16095647	7.533898743	55.0445763	63.47677	46.14106152	33.77949459	31.2847977	37.30955377	40.9578848	53.35147816	17.78143865	22.10148228	15.49201113	10.59521662	35.53608595	40.39885988	24.9501763
gbr.1.144.t1	22.64032853	26.87876184	16.09881922	30.09942434	38.86932885	33.12669088	31.2713899	49.7653895	10.61213609	55.60074302	52.71185071	47.81601881	53.49000746	52.13920988	74.29660619	35.24341145	45.4860751	18.96252145	155.8033893	125.9117946	40.33098554	54.87838486	55.96605864	34.46339688
gbr.1.148.t1	6.627867911	3.88988442	2.098099987	8.46949008	7.857685479	6.302078278	6.236246718	22.76963293	0.600862858	15.00968043	16.91634669	4.909615966	3.356394306	3.514425095	2.794415262	9.122673231	7.393356919	1.168521525	4.807024815	2.600784324	0.667385284	7.661339642	9.277445122	2.648711309
gbr.1.150.t1	1682.629337	890.2561012	131.2924178	3254.780691	915.2790856	190.443837	1770.63169	853.6915136	105.2462212	2940.105161	2600.283151	394.8385112	3717.573781	1769.833376	223.1715805	3744.848074	724.1465085	184.0774206	10894.9274	5144.992283	333.7088372	4000.785162	1842.640288	223.2541179
gbr.1.156.t1	2.464596835	1.685919448	1.107851292	2.159568129	2.669480895	1.982440016	1.551271172	1.665087054	0.486139807	4.247003231	3.677596713	3.755457045	6.682883914	5.627562998	7.712983717	10.03763412	6.17441806	3.693594609	17.88294832	15.92777007	6.894212378	6.432272246	5.346833605	3.661811266
gbr.1.177.t1	157.1932577	145.5187536	63.1929808	167.4270107	158.4779754	83.75616211	94.21652816	125.2056551	22.52910591	214.6682432	371.7473093	108.8769458	180.6357179	278.2291028	101.6271785	147.5962679	203.8689285	51.62962423	130.1517536	84.3602249	23.50314708	155.9841113	195.3439928	65.0164492
gbr.1.189.t1	7.260025449	9.107101606	4.84311952	9.95049461	12.24246727	9.364297113	21.37723915	14.33239827	4.106377475	42.9242373	29.04417123	28.43351932	35.62620749	31.62782279	44.70424269	21.63743312	19.0924176	8.408960054	5.603592621	3.704461317	3.25264658	20.62560425	17.02154858	14.73045182
gbr.1.211.t1	46.41657752	29.06648996	5.670224128	53.76457774	55.95220419	15.50939828	13.70461837	13.67817482	2.050201115	118.0742162	52.88922731	29.99250326	63.83978603	60.49540752	58.08610152	52.55194636	25.52060112	6.900131939	32.37876052	9.441957183	4.035440234	54.39006896	35.29200887	17.46342864
gbr.1.22.t1	17.65245388	18.81997089	7.484999814	23.82904045	21.27714435	17.45742661	23.92098192	32.79997266	4.263343874	17.90887726	17.49455116	11.83910274	5.134497615	7.911358847	7.856618825	19.70404707	21.60689738	5.155553304	6.577448962	5.51791998	2.513096518	16.38962102	17.91825932	8.081448812
gbr.1.39.t1	3.282702237	2.590388414	1.297438413	5.962739928	4.17380519	5.660117947	1.997644676	2.340493823	0.273920509	9.56011969	8.586855502	5.856950796	1.263616111	1.30753185	4.582276355	4.851252525	4.509387641	0.674042904	1.783508894	0.808768984	0.239411966	4.100226294	3.473890201	2.654879841
gbr.1.53.t1	9.702297831	12.08455341	7.980544349	11.64191357	22.69529647	14.31704682	5.84841335	8.026771543	1.112450927	15.50405691	16.67689385	16.70885021	3.661401982	7.421694289	9.943043075	12.56415064	12.36321701	2.941005315	2.813871402	1.3847262	1.700238726	8.819443669	11.52187897	7.814739917
