Sample:	All_female	All_male	All_wtr
gbr.1.175.t1	36.12015206	33.03526631	42.73281274
gbr.1.27.t1	29.51003343	33.43868136	44.32599571
gbr.1.40.t1	11.36986297	7.828487021	15.616547
gbr.1.49.t1	21.69495671	25.92945247	29.46954971
gbr.1.66.t1	76.69500386	77.72517169	97.82804763
gbr.1.87.t1_gbr.1.88.t1	260.2268919	214.2278439	300.7788913
gbr.10.58.t1	7.214975667	8.31790345	14.28298526
gbr.10.82.t1_gbr.10.83.t1	5.828968709	5.065525855	13.15118951
gbr.10.87.t1	47.24379347	27.08522052	64.74770699
gbr.100.20.t1_gbr.100.21.t1	29.92769618	28.38205431	41.93914606
gbr.100.51.t1	69.92692612	77.11980766	134.8550699
gbr.100.55.t1	59.95877231	46.22755405	75.82090179
gbr.100.60.t1	11.26666351	12.70731557	15.78143868
gbr.101.1.t1	15.9952694	18.71875426	31.90243777
gbr.101.17.t1_gbr.101.18.t1	1897.205519	2260.813465	1932.569885
gbr.101.45.t1	209.7723622	229.9906079	216.6611807
gbr.101.7.t1	72.17799912	75.34707414	100.0064254
gbr.102.53.t1	29.05632106	27.73813478	43.40828159
gbr.102.55.t1	19.32453182	24.88711268	34.46651793
gbr.104.63.t1	56.74319196	75.13745842	46.87644797
gbr.105.12.t1	37.52706462	39.11453205	62.82686289
gbr.106.50.t1	2013.232556	1875.751088	2226.620327
gbr.107.20.t1	61.90357022	19.96995346	129.9617111
gbr.108.12.t1	184.1329799	188.88125	213.7351649
gbr.109.12.t1	294.3109169	189.901068	286.9013015
gbr.11.101.t1	40.02421049	42.04688752	55.02373153
gbr.11.153.t1	10.97516475	12.02111773	20.87062449
gbr.11.177.t1	16.10057911	15.7064593	23.65855906
gbr.11.187.t1	194.1179929	199.3931872	234.0249705
gbr.11.216.t1	119.8434206	136.8972005	224.1811407
gbr.11.22.t1	20.67748369	26.84369771	33.29676258
gbr.11.223.t1	2.274784138	2.683599566	4.141518977
gbr.11.32.t1_gbr.11.34.t1	23.22140191	25.61703392	32.44766252
gbr.11.38.t1	16.79881493	15.53695642	16.33075058
gbr.11.51.t1	1880.111007	1831.062052	2376.282004
gbr.11.89.t1	464.2863781	483.3826378	526.7035039
gbr.110.28.t1	26.24739082	28.96838799	34.35544134
gbr.110.51.t1	10.42828749	15.59107598	16.37410629
gbr.110.53.t1	143.3630227	100.3934623	180.1012099
gbr.110.64.t1	72.34777367	61.48467671	101.3183734
gbr.111.53.t1	2734.993813	2707.097283	2809.551202
gbr.111.54.t1	82.60009391	87.17181135	146.8698329
gbr.111.56.t1	409.2950915	406.3416884	775.64745
gbr.112.45.t1	80.71985949	78.70555439	97.61398837
gbr.112.49.t1	56.20219667	58.44708383	76.01047463
gbr.112.8.t1	19.55181061	13.95505944	28.26294408
gbr.113.12.t1	16.92603812	20.56514518	51.5422258
gbr.113.27.t1	1.43819088	2.766273404	4.342033838
gbr.114.7.t1	10.23015177	12.56012249	16.60424322
gbr.117.34.t1	294.9349163	319.4708856	368.5610026
gbr.117.35.t1	21.91469817	21.83499483	29.11409292
gbr.118.15.t1	1390.471542	1823.637481	2185.920677
gbr.12.7.t1	20.87139784	13.90611957	27.7650168
gbr.120.8.t1	28.65555183	48.51560546	58.20155081
gbr.123.20.t1	5.760031058	6.37753029	11.06463508
gbr.123.3.t1	68.91692864	96.33640113	94.72466024
gbr.124.20.t1	30.39708735	12.50283953	57.00724378
gbr.124.24.t1	51.99182686	38.91722568	104.7199126
gbr.124.36.t1	2317.747809	1719.172487	2083.609489
gbr.124.54.t1	105.4639939	102.1311264	149.0687607
gbr.124.55.t1	46.54395751	53.42862849	75.67388512
gbr.124.63.t1	1.472732809	1.680477081	3.860235055
gbr.124.75.t1	25.77346271	29.24301321	34.73652218
gbr.124.81.t1	19.69494145	23.66560162	26.9335839
gbr.125.40.t1	78.38190726	108.3106612	115.3062829
gbr.126.43.t1	179.20857	144.4486145	255.1717136
gbr.128.11.t1	20.45489403	15.70765948	24.8595696
gbr.128.40.t1	15.21232822	13.1984583	21.73658016
gbr.129.14.t1	116.5424754	122.0574185	144.9364186
gbr.13.33.t1	83.94398021	108.1929034	160.2410044
gbr.13.37.t1	14.67494107	20.42129185	22.75914139
gbr.13.96.t1	15.21302177	13.07897114	19.34256467
gbr.130.13.t1	410.2774831	730.5793167	402.3323496
gbr.130.16.t1	130.3992094	105.0128483	264.9281807
gbr.130.4.t1	12.40891237	12.75879897	16.28752175
gbr.132.24.t1	16.08437623	18.05054754	32.67820537
gbr.134.33.t1	136.4474706	162.5530999	232.5539699
gbr.136.28.t1	19.68760908	16.19149826	23.76277735
gbr.137.57.t1	35.97596492	39.53372336	47.94537465
gbr.137.64.t1	1370.127182	1343.162429	1410.951499
gbr.139.43.t1	2.460371446	2.716440296	7.679737899
gbr.139.8.t1	7.946800595	8.018255207	13.19985653
gbr.139.80.t1	40.66855281	42.71802771	45.8559905
gbr.139.83.t1	210.4467341	234.3751584	231.049973
gbr.14.115.t1	44.42031761	40.97994765	50.87461473
gbr.14.125.t1	192.6397737	209.5294291	228.5066205
gbr.14.152.t1_gbr.14.153.t1	1.669311798	1.329178837	2.563266068
gbr.14.64.t1	62.74398188	72.06375553	81.94943488
gbr.14.66.t1	21.35773206	21.26487785	36.28977497
gbr.14.81.t1	7.435376251	8.699889218	9.624384721
gbr.14.92.t1	38.53241906	33.91591513	43.81838972
gbr.14.95.t1	8.73401046	9.254921242	12.23371286
gbr.140.46.t1	36.19026965	35.31129765	87.72657172
gbr.141.45.t1	2.819530709	2.072000126	4.17459259
gbr.141.52.t1	27.73991819	35.75649305	40.13821333
gbr.141.59.t1	15.34539299	14.34692868	18.22090107
gbr.142.22.t1	5.717945414	7.924478042	10.21220622
gbr.142.87.t1	149.1429761	114.4022911	149.2115417
gbr.143.12.t1	39.52492874	42.96938322	76.69424107
gbr.143.18.t1	41.74905346	38.89297168	58.52732829
gbr.145.14.t1	50.46596114	62.54737367	62.40049858
gbr.147.13.t1	63.98117304	65.98754324	75.41587222
gbr.147.31.t1	43.84368998	35.7074767	102.7353291
gbr.148.14.t1	7.777287352	7.238100533	12.31930959
gbr.148.15.t1	133.6360777	143.63257	158.0112925
gbr.149.14.t1	1707.569607	1725.239973	1800.863125
gbr.149.26.t1	9.313747021	10.22393265	14.85477216
gbr.15.46.t1	335.6997123	387.7596138	377.5596694
gbr.15.56.t1	11.09355354	9.725844669	17.44396176
gbr.15.64.t1	25.2003357	18.52105297	31.02793885
gbr.15.69.t1	22.75909892	23.87016986	31.95741994
gbr.15.90.t1	23.33712544	26.42997811	32.45467336
gbr.150.23.t1	31.48020958	44.90176058	80.6375575
gbr.151.18.t1	66.36142205	75.86689297	78.48482051
gbr.151.39.t1	8.354228341	12.45624052	14.26845066
gbr.151.45.t1_gbr.151.46.t1	477.1000855	500.4883286	929.1645767
gbr.151.47.t1	91.1070851	100.8393024	142.506634
gbr.151.75.t1	525.4206683	471.7639455	766.0110274
gbr.152.3.t1	11.86001182	12.38568278	13.77100852
gbr.154.17.t1	81.8080044	80.29013496	105.5558876
gbr.154.33.t1	23.93696835	22.632591	36.65999286
gbr.155.1.t1	33.71399498	26.78540967	38.77580834
gbr.155.17.t1	87.6368398	100.1680852	124.5337138
gbr.155.19.t1	50.35587582	49.59858074	65.67913312
gbr.156.30.t1	50.11594766	57.50073479	80.55710818
gbr.156.37.t1	84.04608303	80.92145435	97.0837017
gbr.157.18.t1	60.06853917	58.03220031	159.7621917
gbr.158.33.t1	20.60050977	21.64496306	27.77268301
gbr.16.59.t1	50.81011461	43.48160788	79.47036268
gbr.16.62.t1	127.1819352	119.5736347	173.585464
gbr.160.11.t1	90.25115425	77.80017021	99.17075023
gbr.160.56.t1	13.71673481	11.27182937	16.08781512
gbr.160.57.t1	28.58479593	45.98125542	38.33827525
gbr.161.6.t1	11.94274161	13.44798555	21.02462053
gbr.162.11.t1	40.60202146	39.68479596	54.86923408
gbr.162.2.t1	4784.532747	4807.119202	6333.877445
gbr.162.20.t1	102.4845894	88.04666933	140.7083764
gbr.162.30.t1	695.7237813	664.1127885	984.4973812
gbr.162.31.t1	737.105373	822.8805259	1731.744945
gbr.162.9.t1	488.5885026	548.0575533	594.6776986
gbr.164.24.t1	15.37500806	33.72039485	38.45541375
gbr.165.18.t1	14.4615385	14.39554669	17.22185447
gbr.166.18.t1	45.63918339	42.75365545	55.17356435
gbr.166.3.t1	14.06846462	15.12306625	19.53590985
gbr.166.36.t1	57.17788392	60.58502835	83.07628022
gbr.167.5.t1	152.3571499	162.2062293	225.6935469
gbr.167.54.t1	9.90466341	11.55834471	17.35700404
gbr.167.58.t1	146.5231105	139.5232812	226.6795007
gbr.168.12.t1	7124.840533	6784.279597	8784.42475
gbr.168.13.t1	34.00298206	37.66661802	40.71448873
gbr.168.24.t1_gbr.168.27.t1	15.47947823	17.94138386	18.31257924
gbr.168.37.t1_gbr.168.38.t1	55.938098	52.19261545	93.39429014
gbr.17.113.t1	195.2964462	228.301112	308.7827576
gbr.170.8.t1	5.820335286	5.809796292	11.72928946
gbr.171.11.t1	115.1288591	124.0643441	145.4200099
gbr.171.44.t1	153.6264253	136.1913347	225.4976429
gbr.173.11.t1	24.13084514	23.35333017	28.87151387
gbr.174.28.t1	6.700027335	7.733812851	9.073062504
gbr.174.36.t1	12.1187842	14.15058638	19.78361855
gbr.174.39.t1	33.40278935	34.55811402	49.27820806
gbr.176.4.t1	25.32887336	25.33106691	35.58387493
gbr.177.44.t1_gbr.177.43.t1	3.577325024	2.756359773	5.102040087
gbr.178.17.t1	45.0302065	52.06015069	64.98553097
gbr.178.34.t1	19.3407942	24.65700104	29.18509751
gbr.179.4.t1	10.56139712	7.804791283	15.20107685
gbr.18.18.t1	2.936398948	2.987226711	4.919705163
gbr.18.41.t1	66.47961836	64.36455579	133.7220068
gbr.18.7.t1	394.2793211	391.3713871	443.4189947
gbr.180.27.t1	34.17350798	34.04541418	64.61384501
gbr.181.19.t1	527.1098753	555.5905717	572.2074965
gbr.182.69.t1	15.48447506	17.44482378	22.18077348
gbr.183.19.t1	1.257181497	1.702117709	6.004828143
gbr.184.21.t1	138.477775	152.264011	188.6104908
gbr.184.54.t1	194.0321247	214.2704583	292.7980555
gbr.184.59.t1	586.9970104	554.352967	925.3151732
gbr.185.19.t1	258.5209101	238.8585875	342.8579116
gbr.185.4.t1	24.20859796	27.54430504	27.52639105
gbr.188.14.t1	8.95371251	5.87590969	9.738668808
gbr.188.22.t1	4.979405665	4.307661088	4.242444969
gbr.189.22.t1	2215.32358	2101.235364	2502.13348
gbr.189.4.t1	8.078515181	9.90529157	11.88846842
gbr.189.7.t1	192.2768936	229.7837527	337.2002121
gbr.19.29.t1	28.12900419	30.36558791	47.4913105
gbr.19.40.t1	21.21229331	24.62322419	32.69762841
gbr.193.24.t1	72.82484944	66.19785898	62.25583458
gbr.193.7.t1	36.37556532	33.26044434	51.55311139
gbr.198.27.t1	45.54049348	56.59295149	67.24422339
gbr.199.3.t1	95.58540911	91.80487852	93.67204281
gbr.2.141.t1	19.76928817	25.88931887	23.05707201
gbr.2.173.t1	447.4511443	374.5834917	505.0831378
gbr.2.174.t1	109.4009746	83.87599973	166.4851556
gbr.2.20.t1	28.4313196	28.59932888	44.95086884
gbr.2.33.t1	88.91862334	66.23842947	125.4991347
gbr.2.61.t1	565.5606019	566.1148875	720.6147226
gbr.20.53.t1	1479.915986	1051.753397	1657.649697
gbr.20.90.t1	27.59772497	29.66059541	39.07326168
gbr.202.39.t1	30.24293981	14.20066805	77.38756585
gbr.202.45.t1	105.5965673	90.50404397	123.0162198
gbr.204.22.t1	210.2509777	241.8609952	380.3238968
gbr.205.16.t1	17.69480422	26.84139812	32.03579989
gbr.205.9.t1	59.20785819	61.29462019	73.88173654
gbr.206.19.t1	30.30639103	42.61753499	39.36262428
gbr.208.35.t1	13.0536688	13.01528434	18.47798721
gbr.209.30.t1	16.8177183	13.09937146	22.1080978
gbr.209.7.t1	394.1920393	395.0486258	542.0830202
gbr.21.19.t1	144.2908301	161.8211744	175.1204888
gbr.21.5.t1	29.64771872	34.96753962	50.29038658
gbr.210.13.t1	38.37532796	43.29258928	49.3735488
gbr.213.9.t1	37.83554612	40.93426413	44.89056942
gbr.215.36.t1	1.140516481	1.277211144	2.867067519
gbr.215.41.t1	143.9711754	141.7945621	146.5315701
