Sample:	Cof	Com	Cow
gbr.193.24.t1	0.853939678	0.68590211	10.46968312
gbr.188.22.t1	3.142134321	6.853849485	3.556301175
gbr.288.8.t1	6.403791619	1.575134609	30.36761224
gbr.253.35.t1	24.50532802	10.15027979	7.849106921
gbr.279.16.t1	46.15734835	42.54522026	68.78109033
gbr.234.9.t1	1.135509535	0.215717102	0.367186789
gbr.318.60.t1	4.133135821	1.087133711	8.727446635
gbr.318.31.t1	6.439840079	3.014019756	31.35365411
gbr.46.12.t1_gbr.46.13.t1	852.4088828	1048.106703	916.5574288
gbr.283.28.t1	313.5012834	290.8326356	799.6655193
gbr.397.1.t1	5.729804413	11.34471418	53.65783513
gbr.20.53.t1	46.5881087	104.1442938	229.8619575
gbr.22.33.t1	36.93671892	6.651868563	46.81216424
gbr.188.14.t1	0.981532766	0.39924534	2.491170286
gbr.221.86.t1	79.09772658	103.6099421	81.61837173
gbr.160.11.t1	86.04694545	70.85635568	70.75870086
gbr.155.1.t1	24.72403356	24.22946381	42.21416471
gbr.259.27.t1	109.242602	87.32012825	307.4985248
gbr.2.173.t1	264.1775754	217.1967188	234.1550069
gbr.46.49.t1	14.23547603	18.15826505	42.44893531
gbr.357.9.t1	74.09061862	78.12278282	97.28447183
gbr.60.105.t1	368.6768471	51.66454513	566.5712951
gbr.72.23.t1	13.7785772	9.122602925	7.890615267
gbr.298.7.t1	1.354883241	0.615010693	0.808343386
gbr.12.7.t1	9.524991257	4.899701088	25.70418963
gbr.160.56.t1	0.448356019	0.718845502	4.99082654
gbr.48.48.t1	3.966279349	0.788701441	2.08109503
gbr.110.53.t1	101.2206564	128.1937354	147.0804566
gbr.256.10.t1	8.494769526	7.492406543	20.49475728
gbr.10.87.t1	26.16464269	9.071598775	44.86737866
gbr.15.64.t1	10.36389186	2.489865542	15.20195504
gbr.1.87.t1_gbr.1.88.t1	49.00266791	47.89645503	137.0497806
gbr.253.25.t1	101.1278102	95.96033747	152.8862347
gbr.128.11.t1	0.222217192	0.715303239	0.663192858
gbr.61.21.t1_gbr.61.22.t1	74.91619229	77.30329298	174.8710933
gbr.274.33.t1	12.50612882	11.60326879	20.93045756
gbr.289.32.t1_gbr.289.33.t1	11.66482001	18.53221896	13.14139782
gbr.317.12.t1	14.67640897	12.14222413	25.11550455
gbr.38.35.t1	2260.009029	2618.63806	2229.555674
gbr.1.40.t1	3.096765218	1.229450984	7.353841368
gbr.14.92.t1	23.39148363	13.07724851	48.6381497
gbr.100.55.t1	11.23387759	2.002460526	16.15197757
gbr.202.45.t1	33.53416219	72.89684681	64.05336234
gbr.215.41.t1	107.8261453	111.1087405	121.7246827
gbr.136.28.t1	5.969494096	2.052697447	17.80946035
gbr.405.10.t1	1.288915461	1.202235051	7.804534723
gbr.43.58.t1	1794.63393	2181.860212	1833.079361
gbr.124.20.t1	34.59193255	7.171309995	80.08503806
