Sample:	Paf	Pam	Paw
gbr.193.24.t1	240.3098506	183.3474863	264.7576573
gbr.188.22.t1	5.984193118	3.379048549	5.704037103
gbr.288.8.t1	152.6454009	102.7706644	68.74048897
gbr.253.35.t1	12.69474251	8.34934319	12.24295068
gbr.279.16.t1	839.8034725	67.45037769	126.7909962
gbr.234.9.t1	8.326491803	4.192018621	21.1677881
gbr.318.60.t1	21.98623808	10.66700824	20.80319957
gbr.318.31.t1	397.9647284	350.0481611	371.2477307
gbr.46.12.t1_gbr.46.13.t1	940.3607455	766.5369221	951.1191156
gbr.283.28.t1	756.3481014	609.3663721	849.3290866
gbr.397.1.t1	19.56455062	13.37475238	49.11832104
gbr.20.53.t1	419.6442483	408.1962116	553.3995223
gbr.22.33.t1	0.911490574	0.673177514	1.254566264
gbr.188.14.t1	12.20263334	6.039092521	8.194654702
gbr.221.86.t1	30.07719121	23.91636005	42.37351701
gbr.160.11.t1	118.9299752	102.187742	133.5293518
gbr.155.1.t1	49.70058763	33.54554224	45.95215377
gbr.259.27.t1	500.1866219	372.4732279	453.7097604
gbr.2.173.t1	545.1596427	488.9610942	669.2523089
gbr.46.49.t1	280.2524873	241.5699121	316.2386295
gbr.357.9.t1	134.5305378	107.1951616	158.2582769
gbr.60.105.t1	0.70277609	1.265230605	2.463416847
gbr.72.23.t1	50.61408476	44.86034884	59.25396782
gbr.298.7.t1	4.997997183	4.138515661	7.309516475
gbr.12.7.t1	46.88321221	40.24657567	63.29759342
gbr.160.56.t1	49.83561539	33.9586851	53.83637348
gbr.48.48.t1	11.35691704	0.468628116	0.500709916
gbr.110.53.t1	131.0927068	95.76036401	198.3697823
gbr.256.10.t1	120.1735441	73.20311194	132.4758164
gbr.10.87.t1	68.40129659	36.81189405	85.92009759
gbr.15.64.t1	13.48060146	11.51465605	12.41705143
gbr.1.87.t1_gbr.1.88.t1	348.6444171	314.260593	436.9966358
gbr.253.25.t1	147.8355491	141.7407651	167.5618385
gbr.128.11.t1	4.606266131	3.424133121	6.350669459
gbr.61.21.t1_gbr.61.22.t1	56.04878996	44.24913524	90.32134569
gbr.274.33.t1	25.57266699	22.15674237	32.54426461
gbr.289.32.t1_gbr.289.33.t1	10.59974156	10.25791814	13.1377377
gbr.317.12.t1	53.10172997	46.50074388	71.62842233
gbr.38.35.t1	1634.119341	1524.662028	1689.644133
gbr.1.40.t1	12.57973459	4.152116361	3.828365918
gbr.14.92.t1	47.49816861	46.92137135	51.39017667
gbr.100.55.t1	65.73760121	61.41468369	92.19772897
gbr.202.45.t1	76.68212248	60.7998421	97.28084246
gbr.215.41.t1	134.0986997	133.1950482	146.7387746
gbr.136.28.t1	29.39248559	24.24798505	36.0807083
gbr.405.10.t1	46.74250665	35.46047548	61.53075241
gbr.43.58.t1	2063.993044	1719.301067	2180.209821
gbr.124.20.t1	8.442949842	2.413891229	27.62847349
gbr.44.52.t1	146.459208	144.3930146	160.2126518
gbr.209.30.t1	10.02613807	6.148014592	6.785174236
gbr.6.246.t1	6.964074293	3.948070385	7.099207622
gbr.8.91.t1	5.323981237	4.517647569	5.477653966
gbr.106.50.t1	1782.242132	1526.262934	1723.726327
gbr.112.8.t1	20.58179054	19.54077535	36.83759046
gbr.51.75.t1	194.9775011	154.4944064	280.0835757
gbr.137.64.t1	369.185896	404.7814624	386.5046411
gbr.360.8.t1	1447.842715	1126.574372	1832.584339
gbr.179.4.t1	7.820504539	6.938090969	11.05958435
gbr.107.20.t1	6.310298032	10.11252807	21.59156025
gbr.2.33.t1	104.1224053	72.79214546	131.6938113
gbr.54.2.t1	414.466552	111.9914119	110.1287454
gbr.573.9.t1	122.7769942	104.6206057	127.1075264
gbr.76.10.t1	871.1336109	907.5205293	903.3176962
gbr.11.38.t1	24.8172908	24.31733431	24.06266833
gbr.221.46.t1	9.963608271	7.970798868	10.63605187
gbr.315.18.t1	0	0	0
gbr.124.36.t1	12.73238377	9.963779189	16.07087223
gbr.46.48.t1	380.150783	385.4134846	387.0727147
gbr.245.18.t1	0.2729075	0.265166553	1.159001513
gbr.225.22.t1	221.6246929	167.4801613	238.7815963
gbr.87.22.t1	4.697229593	3.505393617	5.181541347
gbr.199.3.t1	78.80454007	80.13363194	74.47162545
gbr.236.12.t1	14.84661751	12.31088803	14.84937276
gbr.40.62.t1	28.19171783	28.83478319	25.54144158
gbr.42.20.t1	1.763525841	0.686450607	3.747673623
gbr.527.7.t1	3.603765463	1.536369517	2.711766206
gbr.142.87.t1	209.5380106	166.8421376	162.0446177
gbr.61.30.t1	2.060596149	1.732092142	1.953288616
gbr.484.19.t1	37.05909843	34.97783607	40.77530548
gbr.6.221.t1_gbr.6.222.t1	109.9857638	120.661354	121.4622433
gbr.33.57.t1	11.36483207	13.7861919	9.540338929
gbr.450.3.t1	40.19855854	41.00902701	36.86802253
gbr.109.12.t1	3.415048685	2.764991956	4.084927222
gbr.3.19.t1	115.6498644	70.33737639	76.8430175
gbr.36.53.t1	3.467713138	3.338898931	3.407220173
gbr.9.118.t1	33.82101132	34.8218501	46.35707428
gbr.104.63.t1	21.64287276	24.91434254	27.22564417
