Sample:	RNf	RNm	RNw
gbr.193.24.t1	0.698989667	21.96457871	0.261440422
gbr.188.22.t1	2.465243036	2.387675381	1.673822225
gbr.288.8.t1	813.4628058	329.9802928	468.5260013
gbr.253.35.t1	114.1550563	114.3752906	90.08575698
gbr.279.16.t1	974.6070715	81.87722049	253.8945671
gbr.234.9.t1	2.743236118	1.986351836	0.683370166
gbr.318.60.t1	15.49996576	19.32381149	19.60417539
gbr.318.31.t1	43.5280907	45.4659456	59.17632235
gbr.46.12.t1_gbr.46.13.t1	855.6534925	722.8835145	994.4070103
gbr.283.28.t1	589.9039206	217.5695042	588.4611317
gbr.397.1.t1	6.866990236	31.47722379	16.6182557
gbr.20.53.t1	979.0038183	915.9362389	1496.3265
gbr.22.33.t1	0.934082262	0.64799991	1.029767118
gbr.188.14.t1	4.616338273	5.547365615	11.23386874
gbr.221.86.t1	9.543060063	13.77872596	15.72217094
gbr.160.11.t1	59.02367317	54.73079235	51.39853385
gbr.155.1.t1	26.20994837	21.09728538	22.74598415
gbr.259.27.t1	634.7071629	551.2056993	1097.347658
gbr.2.173.t1	206.8836806	146.6934917	273.8594178
gbr.46.49.t1	41.76110694	45.70148861	93.84154841
gbr.357.9.t1	104.0173525	93.89185198	107.5896369
gbr.60.105.t1	37.92994167	34.92448444	80.02953895
gbr.72.23.t1	14.12507761	16.0522369	5.305642666
gbr.298.7.t1	2.021781378	3.212486703	0.617479734
gbr.12.7.t1	11.00364843	9.448655297	17.84034936
gbr.160.56.t1	0.830505303	4.900222098	2.885993368
gbr.48.48.t1	3.984303948	11.66361497	8.502204724
gbr.110.53.t1	124.7184318	53.87876952	124.2869586
gbr.256.10.t1	36.95722944	29.70900784	45.36976835
gbr.10.87.t1	25.48468516	13.35701287	31.66731332
gbr.15.64.t1	7.997596819	9.228100133	6.532902586
gbr.1.87.t1_gbr.1.88.t1	44.48027452	111.8683695	228.4789695
gbr.253.25.t1	150.1506618	149.5764661	168.0806368
gbr.128.11.t1	4.161794169	5.961508752	6.111737254
gbr.61.21.t1_gbr.61.22.t1	72.89636703	48.45183236	109.8219484
gbr.274.33.t1	17.8794627	13.63934445	19.53380051
gbr.289.32.t1_gbr.289.33.t1	7.54691587	8.013821902	7.580791509
gbr.317.12.t1	29.09647509	22.88401295	24.01225842
gbr.38.35.t1	2669.22979	1999.186499	2789.385265
gbr.1.40.t1	26.18871204	20.22835604	36.82532278
gbr.14.92.t1	47.06399398	21.43063074	36.278501
gbr.100.55.t1	23.43879065	17.27708761	19.15803236
gbr.202.45.t1	38.9147344	25.83765889	47.41012663
gbr.215.41.t1	190.6138785	183.3668291	225.2906082
gbr.136.28.t1	15.92352706	10.20644331	7.436201064
gbr.405.10.t1	51.24821659	53.55217856	38.37019576
gbr.43.58.t1	2379.325246	1804.128854	2714.865153
gbr.124.20.t1	66.30062063	30.32107084	102.6304054
gbr.44.52.t1	238.9736159	183.9275008	286.9226511
gbr.209.30.t1	26.83966758	17.49754626	45.07910987
gbr.6.246.t1	6.859596777	4.897642413	10.40183493
gbr.8.91.t1	9.282165353	9.992785062	17.05219984
gbr.106.50.t1	2045.913612	1538.121392	2850.663549
gbr.112.8.t1	3.061790753	3.540874479	5.457818074
gbr.51.75.t1	59.18084072	40.30869218	83.93087856
gbr.137.64.t1	1554.713281	1396.295497	1717.570953
gbr.360.8.t1	2218.351337	1627.498824	2630.718208
gbr.179.4.t1	8.2801013	5.840745597	13.13405726
gbr.107.20.t1	2.597938051	4.336777017	6.92916525
gbr.2.33.t1	73.70264581	44.93228042	84.64292575
gbr.54.2.t1	79.84124835	28.05124673	159.3417791
gbr.573.9.t1	1046.87539	811.5250316	995.7832908
gbr.76.10.t1	3525.96652	3116.146112	2952.09195
gbr.11.38.t1	4.509702658	7.85637082	5.947432123
gbr.221.46.t1	7.254687729	11.77917222	4.62195508
gbr.315.18.t1	1.314408131	8.492515338	0
gbr.124.36.t1	16171.93657	11978.81385	14514.61327
gbr.46.48.t1	38.66655798	52.69936262	70.58855075
gbr.245.18.t1	0.037870747	0.256059234	0
gbr.225.22.t1	79.78782953	121.0482644	120.973347
gbr.87.22.t1	8.954850684	5.347552557	13.13517942
gbr.199.3.t1	20.51413956	20.10213967	16.70846729
gbr.236.12.t1	139.989833	111.638603	102.8075661
gbr.40.62.t1	9.166280448	6.722930083	14.80107273
gbr.42.20.t1	13.98202204	22.01339961	12.59246577
gbr.527.7.t1	0.676956545	0.443158611	0.506998538
gbr.142.87.t1	251.2782631	125.7350045	192.8280703
gbr.61.30.t1	0.341126974	3.001167903	2.419074244
gbr.484.19.t1	23.71140539	18.47683282	22.08995252
gbr.6.221.t1_gbr.6.222.t1	37.66611598	22.92488767	26.71453022
gbr.33.57.t1	31.34919765	45.0310187	23.05216841
gbr.450.3.t1	47.80236872	48.13717578	66.32238189
gbr.109.12.t1	1923.936066	1232.240693	1871.759496
gbr.3.19.t1	56.99813119	46.34140784	69.32747623
gbr.36.53.t1	4.45980479	6.515554406	8.410408979
gbr.9.118.t1	19.88127126	23.87067365	27.85253162
gbr.104.63.t1	111.7996665	112.8311548	95.27732158
gbr.221.30.t1	292.6034601	278.487739	444.0627844
gbr.25.22.t1_gbr.25.23.t1	315.885001	1752.735819	535.4326434
gbr.101.17.t1_gbr.101.18.t1	186.4068348	1070.190001	277.3611247
gbr.26.27.t1_gbr.26.28.t1	340.9789358	377.0853641	340.4118036
gbr.130.13.t1	22.28763621	29.15922729	27.72936427
gbr.47.74.t1	202.9627866	245.3577366	366.3501691
gbr.25.198.t1	2.334118936	1.328340359	2.533966718
gbr.101.45.t1	180.2763355	153.221398	212.8280497
gbr.225.27.t1	58.2121266	565.4368131	150.8351769
gbr.160.57.t1	12.66090252	4.445558857	10.83531332
gbr.2.141.t1	3.469230547	1.413565607	2.114532603
gbr.3.139.t1	113.1563982	530.08326	203.3821405
gbr.308.10.t1	7.047526986	6.528262327	5.446823338
gbr.90.1.t1_gbr.90.2.t1	50.89122809	40.17281117	53.92984159
gbr.25.192.t1	115.0325607	142.1191759	201.4496369
gbr.424.2.t1	22.5271836	27.11865468	45.80731247
gbr.125.40.t1	26.92196872	52.5042974	45.73154028
gbr.391.20.t1	299.4742639	295.0859794	488.8285109
gbr.151.18.t1	73.51420064	71.75984921	99.32612712
gbr.164.24.t1	5.627056348	46.95322023	24.27028428
gbr.151.39.t1	2.752010163	4.554172154	2.332264112
gbr.13.37.t1	24.70021738	24.74374787	41.66823471
gbr.59.12.t1	72.06457424	70.50600432	108.0821953
gbr.68.66.t1	11.04009727	11.6930192	14.45348824
gbr.89.38.t1	25.64350807	28.44238469	33.5077717
gbr.120.8.t1	0.501753403	2.378195588	7.240454037
gbr.519.7.t1	29558.11324	51636.9931	55363.91975
gbr.36.23.t1	7.880847387	11.89341206	17.91531914
gbr.141.52.t1	56.19680259	73.21930053	94.69790099
gbr.53.27.t1	65.87388395	76.78259562	98.10211636
gbr.181.19.t1	275.1300004	258.0565285	311.6357961
gbr.205.16.t1	5.830033961	16.97788733	19.22845541
gbr.76.46.t1	19.65610146	40.83014215	22.03136669
gbr.206.19.t1	8.440682775	13.82516341	11.23911297
gbr.90.28.t1	22.55996324	30.44212501	33.16648876
gbr.15.46.t1	242.1252729	233.8769443	328.5115559
gbr.139.83.t1	216.5261847	216.2607636	227.9476551
gbr.25.183.t1	16.22171604	14.96680324	15.19327083
gbr.29.66.t1	13.46964384	16.29651313	20.73430555
gbr.123.3.t1	23.5478722	25.28891917	32.50296482
gbr.3.50.t1	314.2256577	2182.026525	545.6162228
gbr.40.90.t1_gbr.40.91.t1	115.9331722	149.6026939	199.3210065
gbr.448.8.t1	211.8964587	226.9006853	307.34697
gbr.66.16.t1	1.194291319	6.950472162	4.501042183
gbr.478.6.t1	381.7409047	355.7128353	422.1848682
gbr.145.14.t1	49.13641541	63.65325928	42.83357476
gbr.185.4.t1	19.29993895	22.31291553	22.30567633
gbr.67.9.t1	28.81749328	38.95112531	38.18803716
gbr.314.5.t1	71.46475893	94.45493136	117.7560807
gbr.41.98.t1	261.0697277	274.5850979	339.3997289
gbr.9.61.t1	104.7447657	139.9376978	115.4388135
gbr.449.5.t1	39.07785938	36.7763289	48.55050662
gbr.529.7.t1	27.9728958	22.52803136	40.90564319
gbr.64.26.t1	18.69389455	50.58065992	34.83355408
gbr.488.9.t1	128.2314444	112.3922542	129.803446
gbr.110.51.t1	9.934838908	17.29740999	17.64229712
gbr.168.24.t1_gbr.168.27.t1	24.04441878	24.23305824	28.71628517
gbr.11.223.t1	0.692623143	1.101576466	0.513410083
gbr.44.74.t1	76.73031223	60.70116627	72.02578513
gbr.90.74.t1	41.9078999	39.16557497	51.17086336
gbr.90.11.t1	68.83061733	70.33656765	98.65420526
gbr.75.17.t1	429.3836136	352.7631605	489.1193105
gbr.87.48.t1	50.07506821	50.98765609	81.01807001
gbr.23.2.t1	35.45775762	37.0540243	61.68987577
gbr.34.34.t1	0.028225724	0.438123608	0.147835579
gbr.571.7.t1_gbr.571.8.t1	7.824253882	7.964587609	11.8573756
gbr.167.54.t1	0.293388312	1.288937353	1.524885091
gbr.35.75.t1	94.73968348	98.16176968	161.8860763
gbr.260.2.t1	31.31448707	28.67435074	40.83379075
gbr.4.91.t1	23.22795788	20.42735179	32.57184201
gbr.517.12.t1	35.84515107	33.2737277	48.37336241
gbr.2671.1.t1	549.0312786	498.0946525	1145.417801
gbr.63.86.t1	6.114184066	6.610735395	6.767982056
gbr.90.118.t1	11.54187759	14.12261034	11.15277587
gbr.156.30.t1	70.10714942	72.96592157	95.62424303
gbr.268.13.t1_gbr.268.15.t1	3.004177988	6.165803451	5.451331447
gbr.58.87.t1	18.49892949	20.25830847	17.79339701
gbr.124.55.t1	113.5501746	157.3760375	212.272413
gbr.33.43.t1	268.439882	250.6783773	336.7289503
gbr.137.57.t1	31.77938312	33.38783054	56.2554461
gbr.19.40.t1	21.63088406	29.09286946	44.1891834
gbr.171.11.t1	121.2482301	108.9780814	176.3640408
gbr.307.4.t1	4.875593768	7.080094636	10.38196608
gbr.286.8.t1	186.0847996	204.9604994	208.8232458
gbr.182.69.t1	7.601723337	8.859045559	6.581224562
gbr.494.6.t1	22.87275976	36.21011123	61.01405624
gbr.381.20.t1	8.569702258	11.39552988	11.00426184
gbr.17.113.t1	265.9171903	314.8032992	443.6409613
gbr.541.4.t1_gbr.541.5.t1	55.23364687	73.58539181	120.4682814
gbr.298.8.t1	91.90911712	80.90267755	149.6075834
gbr.23.69.t1	24.00224482	23.29888387	34.40835066
gbr.53.13.t1	49.48323192	46.52306445	65.66493282
gbr.174.36.t1	9.21649382	12.67483602	11.29987705
gbr.1.27.t1	50.75138538	58.18894194	87.6904803
gbr.380.9.t1	82.92120392	84.48342035	133.3880213
gbr.11.32.t1_gbr.11.34.t1	22.92879144	18.56058832	23.47170038
gbr.189.7.t1	7.795093774	9.104433404	18.59734326
gbr.21.5.t1	0.348208217	0.529017366	1.112483372
gbr.326.4.t1	16.59311317	15.95308862	23.97716745
gbr.8.70.t1	3344.908638	2605.489731	5173.652914
gbr.150.23.t1	0	0	0
