Sample:	STf	STm	STw
gbr.193.24.t1	57.64160168	88.17123664	50.92231692
gbr.188.22.t1	5.674819552	5.763759308	4.592392792
gbr.288.8.t1	40.24190977	23.62665935	27.51569875
gbr.253.35.t1	8.700479884	4.667671182	8.441686862
gbr.279.16.t1	36.88657405	45.68618316	34.93347175
gbr.234.9.t1	6.848516055	4.674028973	6.914478163
gbr.318.60.t1	28.18104742	20.99344546	50.4496996
gbr.318.31.t1	8.244526437	15.85631286	16.78496885
gbr.46.12.t1_gbr.46.13.t1	962.8426309	686.1838741	935.7467229
gbr.283.28.t1	1082.975833	982.514033	973.1575416
gbr.397.1.t1	2.907061612	7.955402732	1.471478081
gbr.20.53.t1	175.638392	227.6642481	196.3720444
gbr.22.33.t1	0.233714603	0.252285392	0.561777223
gbr.188.14.t1	9.547761567	6.544774756	12.3327814
gbr.221.86.t1	33.1222193	32.47726703	46.65242767
gbr.160.11.t1	72.81609048	76.84863077	78.83345838
gbr.155.1.t1	29.99040338	23.72298786	36.92754291
gbr.259.27.t1	412.740004	300.4549811	523.7410184
gbr.2.173.t1	587.6126097	432.0743772	546.0754201
gbr.46.49.t1	58.6093784	95.26750124	90.95319557
gbr.357.9.t1	88.13823278	87.83889089	101.8619649
gbr.60.105.t1	1.749917997	1.812272527	1.50799943
gbr.72.23.t1	29.93235348	28.37304787	27.60586416
gbr.298.7.t1	5.392888025	4.166135605	6.774106145
gbr.12.7.t1	9.609990702	6.99367555	12.8457721
gbr.160.56.t1	4.745410844	6.514762991	6.089207371
gbr.48.48.t1	7.96699223	16.91793611	5.439041281
gbr.110.53.t1	154.3723519	104.384604	207.2581159
gbr.256.10.t1	13.04846491	32.53248927	24.72767147
gbr.10.87.t1	52.43118452	35.0699751	81.41254589
gbr.15.64.t1	20.57889379	15.55802869	15.64009598
gbr.1.87.t1_gbr.1.88.t1	63.84930326	105.7340872	129.5988822
gbr.253.25.t1	242.4884689	178.7642375	224.4561795
gbr.128.11.t1	6.611866845	9.813814619	12.31405703
gbr.61.21.t1_gbr.61.22.t1	36.58505166	27.37941213	52.819219
gbr.274.33.t1	26.67842727	18.51072958	23.75974249
gbr.289.32.t1_gbr.289.33.t1	26.47955053	27.84297497	47.74992078
gbr.317.12.t1	36.63175999	27.95569987	38.34789624
gbr.38.35.t1	2118.947624	2100.764456	2444.787518
gbr.1.40.t1	2.182804144	0.258205664	2.574357417
gbr.14.92.t1	27.70778941	32.67565762	27.73896912
gbr.100.55.t1	104.8471399	54.31778521	106.2291136
gbr.202.45.t1	19.86958819	23.78954605	28.98619651
gbr.215.41.t1	117.4395104	116.8484623	99.41331317
gbr.136.28.t1	29.15189515	25.84894058	30.22528757
gbr.405.10.t1	78.99506693	59.53387107	90.57795051
gbr.43.58.t1	2003.693954	1857.645604	2332.820586
gbr.124.20.t1	27.41661279	11.72311023	45.23841556
gbr.44.52.t1	139.3110343	120.3994862	151.9384252
gbr.209.30.t1	26.58807336	20.77504674	29.77370494
gbr.6.246.t1	13.11827107	11.00840597	16.72275173
gbr.8.91.t1	7.730045445	7.430224901	6.715967554
gbr.106.50.t1	1806.897684	1877.991078	1852.587326
gbr.112.8.t1	8.501092039	10.11822549	21.99097671
gbr.51.75.t1	160.8624406	135.2520323	222.7624091
gbr.137.64.t1	1142.673648	1620.028429	1324.015564
gbr.360.8.t1	2170.331878	1771.507285	2792.830674
gbr.179.4.t1	9.151909788	8.255919768	16.7875478
gbr.107.20.t1	1.46752609	5.101880248	5.626705597
gbr.2.33.t1	51.81038875	43.98667724	66.1418931
gbr.54.2.t1	35.88811597	9.617796149	41.06325715
gbr.573.9.t1	343.2523247	162.8004121	210.4916893
gbr.76.10.t1	1848.610828	1552.789172	1596.96789
gbr.11.38.t1	20.08438494	20.04530638	28.51004789
gbr.221.46.t1	7.854231308	7.936644537	3.773825221
gbr.315.18.t1	0	0	0
gbr.124.36.t1	8.544177498	1.785777789	3.776515749
gbr.46.48.t1	129.7796649	179.1168888	236.4103308
gbr.245.18.t1	0.155138074	0.651511132	0.316034719
gbr.225.22.t1	179.2785911	198.2112977	251.8744554
gbr.87.22.t1	5.429698674	20.85244746	17.93270586
gbr.199.3.t1	87.58195161	96.64297562	94.68071864
gbr.236.12.t1	6.049711337	4.544132953	4.405149056
gbr.40.62.t1	1.066796919	0.754821177	0.970206082
gbr.42.20.t1	1.700997504	1.772207634	1.167257969
gbr.527.7.t1	5.375302971	2.414543992	4.179268612
gbr.142.87.t1	181.3054936	186.3288379	308.5337098
gbr.61.30.t1	648.9044604	1082.632505	319.2061055
gbr.484.19.t1	14.50119385	10.69053465	19.67262125
gbr.6.221.t1_gbr.6.222.t1	35.48909123	13.39440215	32.66731711
gbr.33.57.t1	82.08495789	113.7411588	137.2067061
gbr.450.3.t1	47.67658389	35.97314268	37.30737248
gbr.109.12.t1	84.37748999	49.43077353	77.28452917
gbr.3.19.t1	25.44169372	37.58169343	36.12315079
gbr.36.53.t1	4.139548911	3.922649383	5.600450931
gbr.9.118.t1	0.273737274	2.934828757	0.168030278
gbr.104.63.t1	45.20064476	30.85768946	37.13724316
gbr.221.30.t1	152.7591774	169.7372448	219.6094139
gbr.25.22.t1_gbr.25.23.t1	3483.647534	6632.633163	4336.224603
gbr.101.17.t1_gbr.101.18.t1	1987.367118	3305.193977	2340.23177
gbr.26.27.t1_gbr.26.28.t1	4.801245537	4.822728065	5.194832003
gbr.130.13.t1	33.37171488	48.60957513	45.29956889
gbr.47.74.t1	63.84383943	59.64544057	111.5505922
gbr.25.198.t1	4.800142211	7.935914762	10.03716302
gbr.101.45.t1	180.3904276	201.5459975	191.2955165
gbr.225.27.t1	512.7840595	1245.510427	724.9657745
gbr.160.57.t1	8.782758505	4.024399493	3.735628305
gbr.2.141.t1	9.553777812	9.66958718	9.378004623
gbr.3.139.t1	1756.928654	3058.516003	2513.402453
gbr.308.10.t1	6.959678819	7.656711492	10.36105146
gbr.90.1.t1_gbr.90.2.t1	52.14472759	53.45060263	63.65449891
gbr.25.192.t1	350.4831525	361.659578	250.5008031
gbr.424.2.t1	30.16105741	28.4471099	45.05967921
gbr.125.40.t1	34.85476041	42.54542213	41.46713958
gbr.391.20.t1	116.1342058	166.1028814	191.1889275
gbr.151.18.t1	73.46635159	71.04988628	81.6207243
gbr.164.24.t1	2.978445441	21.45370621	27.5004792
gbr.151.39.t1	1.393607078	1.364965245	2.780135557
gbr.13.37.t1	13.74500787	17.78702985	18.38129359
gbr.59.12.t1	78.15974576	74.69406065	81.22054188
gbr.68.66.t1	9.088939586	11.10915006	14.13636768
gbr.89.38.t1	16.95822822	17.69333381	16.33444982
gbr.120.8.t1	7.958779151	7.288883151	23.25941668
gbr.519.7.t1	9151.669738	24198.59062	32148.32049
gbr.36.23.t1	6.813477917	11.66369408	14.53262378
gbr.141.52.t1	39.64666433	43.75373735	44.15628086
gbr.53.27.t1	66.48129546	83.27569296	99.75877802
gbr.181.19.t1	762.3519655	737.5997974	804.3371879
gbr.205.16.t1	15.57568803	23.68842148	31.23804275
gbr.76.46.t1	23.05875126	85.03839462	30.9566397
gbr.206.19.t1	23.18237118	30.41094373	26.61926655
gbr.90.28.t1	103.8239608	90.7146592	91.45278664
gbr.15.46.t1	298.8274083	340.8725913	333.6249882
gbr.139.83.t1	214.9363413	239.6799786	230.5933824
gbr.25.183.t1	19.42388251	31.15165431	27.13147727
gbr.29.66.t1	22.09579421	31.44481184	35.44715569
gbr.123.3.t1	22.56663785	29.38413736	30.79084844
gbr.3.50.t1	7860.850374	11803.48718	10346.80187
gbr.40.90.t1_gbr.40.91.t1	237.4439611	347.746104	308.0372937
gbr.448.8.t1	171.5554693	184.6697473	199.3553609
gbr.66.16.t1	10.12126571	8.19309167	16.9967738
gbr.478.6.t1	422.3883582	365.6252145	489.1497189
gbr.145.14.t1	75.78925198	110.8631898	114.5956609
gbr.185.4.t1	18.37216535	30.42565844	27.95344223
gbr.67.9.t1	36.3459668	33.08167599	39.59101309
gbr.314.5.t1	59.50554216	67.32461928	66.91386701
gbr.41.98.t1	332.3033269	357.1377075	368.9804084
gbr.9.61.t1	136.0700151	93.66250365	144.8181432
gbr.449.5.t1	12.42780654	16.98519711	16.92431429
gbr.529.7.t1	35.86919362	40.21555247	31.20170624
gbr.64.26.t1	14.2573051	15.10480464	22.9678612
gbr.488.9.t1	142.2537301	158.2768505	148.6489871
gbr.110.51.t1	11.64406917	12.55562671	15.6351554
gbr.168.24.t1_gbr.168.27.t1	17.103773	17.38616382	19.04668093
gbr.11.223.t1	0.081669355	0.125053605	0.349848797
gbr.44.74.t1	72.50497682	59.1675573	92.75823276
gbr.90.74.t1	32.83498963	30.35585343	38.53739776
gbr.90.11.t1	67.22525248	71.38285115	86.64718389
gbr.75.17.t1	426.7165738	400.6566551	485.8522394
gbr.87.48.t1	51.64460654	56.37552396	61.42950357
gbr.23.2.t1	21.6147805	28.24277728	28.32294689
gbr.34.34.t1	0.255955418	0.348321066	0
gbr.571.7.t1_gbr.571.8.t1	16.73723837	19.59802299	25.66043587
gbr.167.54.t1	1.855938126	0.578442605	1.743734366
gbr.35.75.t1	75.6914283	86.15280988	108.5338291
gbr.260.2.t1	31.64776776	22.04763303	40.01499509
gbr.4.91.t1	21.04280444	22.92719856	22.04451956
gbr.517.12.t1	59.53506357	61.5762892	74.01134109
gbr.2671.1.t1	2024.111253	3049.941131	4853.437461
gbr.63.86.t1	12.10416961	7.629628219	15.42475591
gbr.90.118.t1	5.585810714	13.5933261	5.514466614
gbr.156.30.t1	54.4036183	67.16873952	65.26744486
gbr.268.13.t1_gbr.268.15.t1	2.911820169	3.26473739	3.190592624
gbr.58.87.t1	24.11097883	26.23984254	29.00542817
gbr.124.55.t1	54.5445427	46.09007908	77.5661759
gbr.33.43.t1	279.0039126	268.8057024	327.8918636
gbr.137.57.t1	31.69033379	34.95680059	43.72266046
gbr.19.40.t1	28.04355223	26.14337043	31.70232736
gbr.171.11.t1	111.0059182	129.1991297	126.254653
gbr.307.4.t1	23.31824246	29.3289284	43.80754504
gbr.286.8.t1	272.3118773	254.4277862	381.2405877
gbr.182.69.t1	18.94759401	20.32223274	25.89635511
gbr.494.6.t1	9.817648879	14.72016875	22.30466991
gbr.381.20.t1	7.713460828	6.482192023	9.363348294
gbr.17.113.t1	186.3145523	259.1481816	227.9981102
gbr.541.4.t1_gbr.541.5.t1	87.46370917	122.8644441	116.8026447
gbr.298.8.t1	54.19765454	68.14946683	82.37144747
gbr.23.69.t1	31.00583542	26.96607409	43.87390643
gbr.53.13.t1	37.80062158	51.46817158	65.2999597
gbr.174.36.t1	7.869641828	11.80328995	9.095495076
gbr.1.27.t1	30.25663784	31.17712758	40.79794244
gbr.380.9.t1	70.36593506	72.40553256	80.38706539
gbr.11.32.t1_gbr.11.34.t1	31.136893	35.31012678	39.2316314
gbr.189.7.t1	46.68406346	160.1044628	82.51513604
gbr.21.5.t1	2.883079813	0.463026488	2.464077529
gbr.326.4.t1	29.78015037	38.68647875	41.14046493
gbr.8.70.t1	2771.79577	3639.995394	3654.283351
gbr.150.23.t1	32.62949284	130.4791543	59.04286678
gbr.134.33.t1	97.80532532	129.0682938	197.6836644
gbr.99.73.t1	105.2652047	96.73964734	134.6467971
gbr.73.24.t1	20.70126774	16.67230823	30.9926436
gbr.152.3.t1	2.945598936	4.39547646	3.551816445
gbr.184.21.t1	52.72077834	53.57144176	61.19531204
gbr.25.193.t1	194.8905164	265.1390753	208.3399273
gbr.252.6.t1	88.73634458	127.0493317	132.441982
gbr.29.74.t1	19.70330825	21.89894762	30.99554946
gbr.338.13.t1	263.4204784	233.550988	282.4052109
gbr.559.5.t1	4.946877202	12.73252247	11.54178577
gbr.29.73.t1	554.0688757	638.8411296	653.5726441
gbr.297.18.t1	2.792041528	9.834628332	16.88744622
gbr.15.90.t1	8.323933424	8.390570907	10.61178235
gbr.155.17.t1	78.92941914	88.96032788	96.29629406
gbr.117.34.t1	202.0309986	226.3990613	249.0016939
gbr.375.34.t1	8.778201911	13.94745518	14.36828508
gbr.110.28.t1	18.74079771	19.20110002	21.84625929
gbr.25.94.t1	184.8603658	277.6894682	306.9062893
gbr.7.125.t1	1.944570057	2.182619809	3.8206619
gbr.216.45.t1	22.615754	23.95572969	31.46601471
gbr.38.64.t1	119.8524513	144.1977123	203.763953
gbr.35.52.t1	126.3014164	159.6959079	169.651502
gbr.255.23.t1_gbr.255.24.t1	17.26526574	36.17522685	56.66200278
gbr.11.89.t1	420.6704966	534.73076	555.7741323
gbr.301.30.t1	92.75272599	140.5696227	181.6725255
gbr.100.60.t1	4.010606024	6.784729002	6.313725029
gbr.13.33.t1	76.66023198	93.39091311	143.2832034
gbr.81.216.t1_gbr.81.217.t1	54.44331523	62.62248736	71.78955368
gbr.375.38.t1	23.4901314	37.06442926	41.51006919
gbr.54.37.t1	58.09702859	78.17852039	82.41859621
gbr.58.142.t1	485.4692663	438.9727366	700.9486343
gbr.309.21.t1	13.32215719	13.93614592	15.60671013
gbr.90.135.t1	53.55583954	62.68352204	63.09161112
gbr.421.11.t1	22.7649323	29.19996431	31.11755277
gbr.76.59.t1	38.31716482	42.16815393	57.18800188
gbr.178.17.t1	46.96759419	49.74256834	67.74752822
gbr.3.83.t1	19.64195396	24.26956314	30.50936079
gbr.495.4.t1	38.94521919	44.8085622	53.96471859
gbr.503.4.t1	10.4503331	14.92315977	13.62652612
gbr.46.62.t1	34.58852607	40.18185902	41.9809487
gbr.124.75.t1	35.65104731	33.05425412	50.80549461
gbr.459.5.t1	61.995641	52.81179919	60.64126632
gbr.5.65.t1_gbr.5.66.t1	6.731829738	4.44200163	9.236354507
gbr.81.128.t1	21.236755	23.11067989	27.65761103
gbr.47.9.t1	107.6616757	99.95499629	158.7766133
gbr.139.80.t1	30.45645323	32.12618684	35.12282742
