Sample:	Skf	Skm	Skw
gbr.193.24.t1	71.68401102	35.97279932	71.10029274
gbr.188.22.t1	11.15980364	5.964815769	4.965541742
gbr.288.8.t1	1331.021112	795.1515399	558.6605057
gbr.253.35.t1	22.13402111	17.89198062	29.68620588
gbr.279.16.t1	230.6682523	93.20451078	125.4985804
gbr.234.9.t1	3.059379052	0.474879882	5.619666184
gbr.318.60.t1	238.7448502	183.5671096	207.9226716
gbr.318.31.t1	253.8897755	202.0318261	313.9003894
gbr.46.12.t1_gbr.46.13.t1	841.5150548	898.6569852	860.2776594
gbr.283.28.t1	1139.509929	1027.987775	1146.706018
gbr.397.1.t1	175.2151275	81.71375277	106.3371673
gbr.20.53.t1	7026.460948	4582.889148	5357.832202
gbr.22.33.t1	0.952157515	0.491671352	1.871543017
gbr.188.14.t1	16.53318059	12.17630777	10.4001663
gbr.221.86.t1	174.8633557	99.63014098	135.0205792
gbr.160.11.t1	88.71731686	75.25400599	104.5290358
gbr.155.1.t1	39.54144275	28.40695692	39.3028248
gbr.259.27.t1	2012.816827	1471.066088	1362.406801
gbr.2.173.t1	847.9058971	749.0828181	800.2062115
gbr.46.49.t1	1112.148288	724.1733681	1141.541855
gbr.357.9.t1	168.6969676	130.4625996	165.8381673
gbr.60.105.t1	3.747898724	3.47095355	2.738335788
gbr.72.23.t1	22.22130374	19.72556971	57.62263757
gbr.298.7.t1	1.520124511	0.943531855	8.560827442
gbr.12.7.t1	35.91681799	19.94090111	43.65852032
gbr.160.56.t1	27.33859823	17.93417625	31.5870381
gbr.48.48.t1	29.18912876	20.71853384	16.82147673
gbr.110.53.t1	227.3254494	136.8294045	195.8288736
gbr.256.10.t1	227.4456403	157.8666451	125.9101102
gbr.10.87.t1	43.17406598	24.35241899	44.83533928
gbr.15.64.t1	37.77390164	27.37951979	25.27928753
gbr.1.87.t1_gbr.1.88.t1	1223.093544	820.9837113	1054.073839
gbr.253.25.t1	144.6588238	140.7387523	166.1704976
gbr.128.11.t1	102.5494626	63.29098011	82.36986318
gbr.61.21.t1_gbr.61.22.t1	630.2346556	429.8301961	532.9576293
gbr.274.33.t1	15.82980787	15.67704324	16.44805448
gbr.289.32.t1_gbr.289.33.t1	84.94150391	48.63513741	53.52438051
gbr.317.12.t1	91.84545864	73.32064347	77.26307827
gbr.38.35.t1	3542.231204	3051.295457	2848.297517
gbr.1.40.t1	25.15104201	26.67149393	26.49794987
gbr.14.92.t1	32.05148503	37.28894186	34.77888657
gbr.100.55.t1	33.39916827	40.50667814	43.69670636
gbr.202.45.t1	372.3149519	227.7971269	266.4797711
gbr.215.41.t1	203.3970389	173.5322435	181.5410309
gbr.136.28.t1	14.47416147	5.993849679	45.30471984
gbr.405.10.t1	35.39118895	25.85211104	44.11136327
gbr.43.58.t1	2679.219773	2313.189204	2651.890302
gbr.124.20.t1	28.57475175	7.387896139	28.55284344
gbr.44.52.t1	157.4353475	132.8555283	143.2516847
gbr.209.30.t1	17.65721737	13.60902827	16.86639163
gbr.6.246.t1	5.318227081	3.018272836	6.308019723
gbr.8.91.t1	11.99493336	9.379328913	11.0271263
gbr.106.50.t1	2299.380667	2228.81652	2268.538599
gbr.112.8.t1	33.35800052	27.30608589	32.26553624
gbr.51.75.t1	258.5235661	209.1700551	235.3945944
gbr.137.64.t1	2166.699446	1856.459191	3109.035723
gbr.360.8.t1	2298.051878	2051.505039	2725.32539
gbr.179.4.t1	16.62221961	14.16910748	20.95649637
gbr.107.20.t1	6.52053083	9.47650688	12.33738787
gbr.2.33.t1	86.59229572	70.60946127	72.99699329
gbr.54.2.t1	1182.997181	479.4027101	898.7771583
gbr.573.9.t1	330.9931996	229.5835552	273.4842109
gbr.76.10.t1	2068.32028	1952.957081	2028.448235
gbr.11.38.t1	29.10267609	16.95224471	23.9665376
gbr.221.46.t1	14.82905032	15.18742007	11.41993076
gbr.315.18.t1	0	0	0
gbr.124.36.t1	13.24136999	23.64166856	12.95357965
gbr.46.48.t1	1239.535544	979.1804673	858.8894548
gbr.245.18.t1	0.68803837	0.082318047	0.971995803
gbr.225.22.t1	793.8126883	280.6628183	325.7156358
gbr.87.22.t1	35.46660321	22.68344132	33.16780004
gbr.199.3.t1	195.796645	165.7995889	149.2930423
gbr.236.12.t1	109.0611625	82.46377954	88.87552133
gbr.40.62.t1	37.61125495	20.08418228	33.47118175
gbr.42.20.t1	110.3833401	62.23833954	98.75510758
gbr.527.7.t1	2.865939624	1.938365417	2.651401873
gbr.142.87.t1	189.4391252	155.803845	153.4971255
gbr.61.30.t1	1.777469139	0.302797219	1.00624195
gbr.484.19.t1	193.1831693	132.6736208	136.8108862
gbr.6.221.t1_gbr.6.222.t1	34.76366196	41.45558673	28.8442791
gbr.33.57.t1	339.8808151	259.1686759	254.9394529
gbr.450.3.t1	45.26011745	34.37059852	40.12318778
gbr.109.12.t1	19.19829086	19.01696283	14.74538155
gbr.3.19.t1	100.9252993	57.36903323	87.16638392
gbr.36.53.t1	29.54692093	18.39002301	18.80032823
gbr.9.118.t1	152.000872	92.43109658	110.991059
gbr.104.63.t1	68.90353142	61.25488693	47.02818256
gbr.221.30.t1	1722.408254	1104.455779	1442.013992
gbr.25.22.t1_gbr.25.23.t1	11031.70206	10509.58128	9622.080435
gbr.101.17.t1_gbr.101.18.t1	2470.980371	2975.116115	3253.266193
gbr.26.27.t1_gbr.26.28.t1	48.9778664	51.41022404	42.50178348
gbr.130.13.t1	167.9244488	139.2488656	143.9556733
gbr.47.74.t1	126.9503739	109.8083838	152.7959967
gbr.25.198.t1	20.13165644	13.58526659	20.22493676
gbr.101.45.t1	360.536334	359.9699337	259.4546473
gbr.225.27.t1	412.3166569	1185.276124	617.2309559
gbr.160.57.t1	32.23188241	17.27570791	28.03569846
gbr.2.141.t1	5.616745787	8.420253676	6.262009751
gbr.3.139.t1	3620.361014	4515.995105	3878.930029
gbr.308.10.t1	40.51713321	33.36969824	42.19845777
gbr.90.1.t1_gbr.90.2.t1	76.49096706	58.54555588	78.35467548
gbr.25.192.t1	51.91418758	98.12022866	62.68091978
gbr.424.2.t1	202.3892816	349.9795057	256.4269904
gbr.125.40.t1	273.6672191	249.7275075	341.5196314
gbr.391.20.t1	544.4317903	525.1151916	498.4533997
gbr.151.18.t1	92.76015105	100.9873333	88.5007966
gbr.164.24.t1	15.16814366	19.88930874	31.95776823
gbr.151.39.t1	9.871656887	20.39564119	16.21357126
gbr.13.37.t1	14.90789479	18.51170677	17.78627398
gbr.59.12.t1	76.20784986	63.20807294	98.01624392
gbr.68.66.t1	32.37302617	39.03676275	33.59962241
gbr.89.38.t1	19.19409239	21.61765296	22.48016987
gbr.120.8.t1	108.9742196	105.8173096	120.8035609
gbr.519.7.t1	681.5585921	973.7042849	2072.188093
gbr.36.23.t1	14.5693368	18.85848692	16.07279117
gbr.141.52.t1	14.13023903	42.03872249	30.02459597
gbr.53.27.t1	85.21757233	109.6098411	92.64014001
gbr.181.19.t1	799.6891629	800.1367118	688.0435391
gbr.205.16.t1	54.30508763	75.76654029	84.48094055
gbr.76.46.t1	40.97680175	51.54910715	45.95807194
gbr.206.19.t1	51.80873839	44.44233553	51.86500363
gbr.90.28.t1	343.0412241	362.179979	437.7973775
gbr.15.46.t1	575.3557999	635.2878795	516.1066318
gbr.139.83.t1	272.3387728	297.0388029	244.2293077
gbr.25.183.t1	87.25931701	73.69593088	111.3633973
gbr.29.66.t1	25.20626057	39.47510997	36.00339475
gbr.123.3.t1	137.5161837	191.1288836	151.0438509
gbr.3.50.t1	8366.768412	14095.80839	15893.56891
gbr.40.90.t1_gbr.40.91.t1	123.3725518	215.0474701	147.909178
gbr.448.8.t1	176.3172912	209.380599	192.033484
gbr.66.16.t1	134.958703	172.4488361	189.0717074
gbr.478.6.t1	444.2397971	517.8159329	512.5877761
gbr.145.14.t1	65.89734047	67.5031476	84.96569749
gbr.185.4.t1	61.19911219	56.93308346	58.98046222
gbr.67.9.t1	49.35757999	73.83311779	56.00014944
gbr.314.5.t1	75.33308108	78.19479991	70.74160325
gbr.41.98.t1	406.0241139	430.6434508	404.9659176
gbr.9.61.t1	244.9838999	399.0782767	344.3700309
gbr.449.5.t1	16.31225672	18.70827916	14.94757106
gbr.529.7.t1	70.55285439	57.22505119	63.48291235
gbr.64.26.t1	70.02682885	53.1646526	78.97615414
gbr.488.9.t1	187.3966133	201.0301751	162.6875088
gbr.110.51.t1	14.74952062	20.29348778	19.05702954
gbr.168.24.t1_gbr.168.27.t1	14.19756051	15.30823799	16.05285093
gbr.11.223.t1	8.26492529	6.895536117	7.159714357
gbr.44.74.t1	89.82106133	105.7556212	92.04485479
