Sample:	Spf	Spm	Spw
gbr.193.24.t1	0	0	0.090335957
gbr.188.22.t1	2.793164932	2.566398401	5.856194674
gbr.288.8.t1	21.73119208	11.4801222	14.45479852
gbr.253.35.t1	9.862917003	12.8717966	20.40884521
gbr.279.16.t1	813.5214277	100.30975	295.9938461
gbr.234.9.t1	5.143206098	2.784793691	1.515757129
gbr.318.60.t1	44.5222523	35.87159397	89.80510316
gbr.318.31.t1	2.901112529	2.199233386	2.168931578
gbr.46.12.t1_gbr.46.13.t1	1042.165633	766.1574987	1103.55325
gbr.283.28.t1	942.8877191	453.3123769	740.6773607
gbr.397.1.t1	164.8599659	160.2028906	178.9217225
gbr.20.53.t1	542.6371537	419.057812	1750.772933
gbr.22.33.t1	0.111199978	0.074358876	0.635626576
gbr.188.14.t1	6.665384627	3.654110459	14.00843694
gbr.221.86.t1	46.34449748	39.68389572	66.30519637
gbr.160.11.t1	139.4431827	103.7055125	150.5739601
gbr.155.1.t1	36.73061574	33.27857841	44.93715052
gbr.259.27.t1	239.100008	242.484551	681.7627414
gbr.2.173.t1	338.4746231	257.3524993	558.3696282
gbr.46.49.t1	77.01214187	104.8759283	185.381312
gbr.357.9.t1	103.7322545	82.95175137	131.6777051
gbr.60.105.t1	0.423690372	0.688751909	0.938023147
gbr.72.23.t1	30.75457064	27.70819578	18.69625225
gbr.298.7.t1	4.383673819	3.497813899	1.060426045
gbr.12.7.t1	23.5223238	9.512007806	21.49787655
gbr.160.56.t1	1.893383667	3.645336508	6.062743193
gbr.48.48.t1	17.67426657	26.04220607	49.37448424
gbr.110.53.t1	148.0136364	95.12793457	218.0907277
gbr.256.10.t1	30.09637988	42.5090787	90.49052533
gbr.10.87.t1	35.55237014	27.99633312	59.12277196
gbr.15.64.t1	61.69120568	46.78451904	119.18699
gbr.1.87.t1_gbr.1.88.t1	1.062880551	0.339102004	4.258861928
gbr.253.25.t1	261.3805836	223.9652277	254.5997283
gbr.128.11.t1	18.09478783	19.82124467	53.65460662
gbr.61.21.t1_gbr.61.22.t1	217.710966	168.6999309	389.101766
gbr.274.33.t1	22.53861479	21.6516286	26.10588573
gbr.289.32.t1_gbr.289.33.t1	23.64358713	30.37757739	61.5893267
gbr.317.12.t1	37.44114061	34.47939874	61.98959967
gbr.38.35.t1	2502.881299	2559.300399	3646.757462
gbr.1.40.t1	8.491980213	1.864752175	30.49153788
gbr.14.92.t1	48.61353844	52.15882424	38.88702524
gbr.100.55.t1	149.7687329	113.6521928	202.0711272
gbr.202.45.t1	162.8108368	184.6487168	319.3694882
gbr.215.41.t1	124.1510092	142.3132344	138.1351644
gbr.136.28.t1	13.24454328	16.40009621	13.48316791
gbr.405.10.t1	2.922346084	2.896389246	3.114452997
gbr.43.58.t1	1865.119568	1902.020694	2502.069575
gbr.124.20.t1	19.73825365	8.960351796	48.69363279
gbr.44.52.t1	133.3303262	133.8048247	174.1892325
gbr.209.30.t1	7.929725892	9.343699172	15.82400553
gbr.6.246.t1	7.893515168	6.663823858	10.04792301
gbr.8.91.t1	9.02479827	8.23576786	11.29028406
gbr.106.50.t1	1714.962673	1608.10838	2191.705576
gbr.112.8.t1	13.81429627	11.66315666	24.26638488
gbr.51.75.t1	108.2418709	82.60443965	169.3270646
gbr.137.64.t1	213.2465672	226.1772928	354.8178163
gbr.360.8.t1	2039.148104	1823.063947	2634.418878
gbr.179.4.t1	8.492117839	6.404308732	16.9710265
gbr.107.20.t1	4.328820765	7.157864763	27.53366348
gbr.2.33.t1	102.5912882	111.5106053	135.8668699
gbr.54.2.t1	135.9981049	52.86201016	158.0770088
