Sample:,STf1,STf2,STf3,STf4,STf5,STf6,STf7,STm1,STm2,STm3,STm4,STm5,STm6,STw2,STw3,STw4,STw5,STw6,STw7
gbr.1.186.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gbr.102.54.t1,50.18805427,72.13691043,118.3444914,143.712772,82.37511573,26.12750674,94.59730656,48.35983986,17.60537418,85.3104469,10.42703747,178.0629048,25.78468843,24.09528371,65.25973808,30.96547192,105.6833425,193.8720565,76.55953549
gbr.104.24.t1,156.667239,229.7843012,26.15593636,33.4283386,29.38054,44.41158331,26.71832288,30.79589656,36.69078974,35.71440229,32.79320168,59.42672088,53.21511795,46.50016426,64.91840412,42.37603266,39.23990423,52.21154866,16.21589844
gbr.107.17.t1,1.273220875,20.86406171,2.125669949,2.19088039,1.591820434,0.975483871,2.433437059,2.944418158,2.066613618,3.502990775,3.868656772,3.149711316,1.457779498,5.827472253,1.23801807,3.57803939,24.0707608,7.846989009,1.924296887
gbr.109.12.t1,79.29052677,52.36536853,88.30454199,79.91697052,85.31027148,110.7399853,94.71476533,64.28068734,32.263266,20.97602572,67.99546071,58.57256821,52.49663317,97.19518576,59.3538694,98.98097368,80.78989618,73.67259367,53.71465631
gbr.1090.1.t1,0,0,454.4180084,196.7105531,183.758542,0,408.165824,0,0,0,0,0,0,0,0,0,412.9718134,0,7.479440105
gbr.110.53.t1,113.7545101,107.8400235,177.5858355,174.6881619,213.0535337,108.9419087,184.7424902,154.8570374,105.4314978,116.974149,78.14877284,85.07667759,85.81948962,215.5611857,180.3090773,173.6611827,296.6558171,251.3563985,126.0050338
gbr.110.6.t1,21.01581519,53.15167159,9.459558013,4.254438327,4.507901754,8.287465144,1.817482902,19.65467009,1.074944602,9.312817925,16.69441677,12.23275593,12.97468568,4.286470624,5.316735368,4.885412298,5.210168605,9.876450538,4.104778364
gbr.112.26.t1,135.0977636,106.9551485,125.8749856,109.5138073,123.0608011,188.6708242,126.2103646,79.44391428,52.070337,51.4501998,77.88896117,80.39090642,72.73086287,146.4490866,103.4823156,103.6532278,102.1540793,88.07268592,75.55286885
gbr.112.29.t1,22.53704084,13.41715193,25.03348062,30.64899229,26.13144175,27.1535215,19.77333577,11.55855748,2.317903719,9.762813917,12.88571264,13.78823826,14.91353161,24.95588209,14.54584197,21.70728475,19.04061068,14.72784108,6.076485326
gbr.122.40.t1,38.63564916,14.99436052,47.32367121,27.05656905,37.17710713,77.44415102,42.83715208,26.52977152,13.6166512,11.01485961,19.93395578,25.08509844,20.81984447,60.26191313,45.07515153,44.52564323,29.21258145,19.85027589,17.72406856
gbr.13.93.t1,281.6517353,294.5177519,344.6083847,404.7334995,276.3760926,258.2577974,292.2061917,199.2132238,179.4826701,198.8945391,148.3644805,247.0758643,186.7782215,237.5691103,294.3333175,326.2854076,256.1706325,276.4270887,222.3074305
gbr.132.18.t1,191.8591227,629.7139422,9.533124379,8.421923746,3.467483306,0,326.682037,9.903761589,0.567445149,5.129822317,0,4.035916132,0.933970641,0,0.732160447,1.719284576,3.536177462,304.9962952,2.465718305
gbr.133.27.t1,6.238233743,26.40615624,21.03001978,30.82690874,27.63062072,1.225500179,50.67775011,8.322911781,2.596286246,26.50962048,4.860192676,5.671673703,5.952076232,4.104226203,30.92697651,8.709237108,43.33771095,25.28438204,12.34386969
gbr.14.159.t1,1.758302846,0.950924766,2.446270709,0.504263282,2.076158091,2.245219323,3.015876015,0.847126326,0.679516372,1.919677971,0.989364605,3.383110708,5.032940256,2.845135749,3.068671112,4.117691441,2.117288765,2.341240362,2.013205343
gbr.143.14.t1,116.0905306,141.5013151,187.3470074,234.4807118,74.70262005,151.7860753,144.8802561,150.0411543,82.38346679,118.7637581,106.621303,165.6566109,196.4200377,68.1362292,83.98802996,109.9110728,134.6865235,134.8320658,93.94817576
gbr.143.45.t1,220.0624255,1762.581889,1658.757644,771.5621936,318.6156338,2004.620137,609.0930996,23.89252388,2.994565392,2.030362106,245.906127,5.111675639,76.88962381,0.716471336,5.022957798,1.814628285,8.086601886,1.179157522,4.49515099
gbr.144.43.t1,218.180198,162.9199756,190.1741217,208.0702498,170.4574165,271.8863161,209.4640713,103.3431981,119.1630189,140.1675869,170.3932587,159.9702953,170.0488794,119.2195603,188.55399,175.4454945,188.0226192,164.4081459,133.2721018
gbr.147.27.t1,405.6605864,295.1638034,491.4109285,324.4036438,446.0279197,1087.514346,507.9624447,287.3311611,240.2611965,163.8619106,324.4314288,335.7193792,227.4719681,469.0305511,342.923763,544.359467,397.941188,413.1715161,304.886857
gbr.147.28.t1,220.6819709,179.9070671,226.735985,215.4751975,302.8282717,599.276009,277.4850777,143.7439556,148.5475456,69.90311961,169.1049428,223.2789842,183.5464485,108.7375515,146.8724774,204.6396061,190.1248768,217.8986566,175.7084504
gbr.148.26.t1,188.1035675,121.2476992,162.9501481,183.4242444,123.1032639,297.2642026,176.2713541,93.48056494,103.9262628,88.69894271,156.4225975,147.4178882,123.1785272,129.3964772,147.9554725,203.3896054,139.442058,195.619865,112.7099895
gbr.15.47.t1,36.92642229,30.32411238,27.16113738,47.91595476,26.55208145,17.39221948,28.70186588,32.81061862,16.14220036,32.12020944,21.45905717,42.42990585,20.79298015,7.136558769,24.5633174,28.70731304,46.2879062,39.553819,25.09056048
gbr.15.64.t1,20.58113555,22.34320917,24.0019271,18.74898833,16.35527448,21.256326,20.76539593,16.0401197,11.93072507,19.95869131,21.1176115,11.97974029,12.32128425,20.42934983,15.77122154,13.99869789,14.21384062,16.12028573,13.30718027
