"","Row.names","MMpink","MMcyan","MMyellow","MMblue","MMpurple","MMgreenyellow","MMgreen","MMred","MMsalmon","MMtan","MMmagenta","MMturquoise","MMblack","MMbrown","MMgrey","Co_female","Co_male","Co_winter","Pa_female","Pa_male","Pa_winter","RN_female","RN_male","RN_winter","Sk_female","Sk_male","Sk_winter","Sp_female","Sp_male","Sp_winter","ST_female","ST_male","ST_winter","TF_female","TF_male","TF_winter","ALL_summer","ALL_winter","ALL_female_smr","ALL_male_smr"
"27","gbr.1.150",0.869611461295018,0.436463271540835,0.540996041678503,-0.0272966534856322,0.180854606896045,-0.378049943848851,-0.412233321828814,-0.486942896046588,-0.198007472922911,-0.336850920212205,-0.0712891336622187,0.0377258086030388,-0.0901499072537714,-0.151137449668813,0.0248699136816321,0.453629717383677,0.271757311424488,-0.032351803438575,0.143705100137766,0.0505011044396906,-0.110749454067529,0.041289325967405,-0.02352837283213,-0.208939945013364,0.122420566876735,0.000851322771113477,-0.17561156774782,0.0737767352862087,-0.0894239384227761,-0.168315079322154,0.0987809386896252,-0.0395510265782805,-0.156529748404656,0.0142345693741296,-0.0879671041635645,-0.204500878006542,0.48635272488343,-0.48635272488343,0.437902086318513,0.0379704845018844
"265","gbr.104.23",0.877824252251613,0.372296030962236,0.430512055614448,-0.062852152242848,0.102464539344051,-0.336204922840727,-0.350608021273931,-0.41079323761282,-0.205013394192398,-0.293216841766045,0.0138345048148268,0.0877247628295897,-0.0522391513081525,-0.144813082545297,0.0752008477737413,0.379351577997034,0.157141684732912,-0.023223187747662,0.161151096959781,0.0701018554841185,-0.146024723603406,0.07681992538328,0.00460294559758681,-0.212282673752114,0.136611493763241,0.0186443908417312,-0.150387046633541,0.106691868169062,-0.0320832202022455,-0.143707998221877,0.0053395147053527,-0.0689868707508976,-0.182173605986094,0.0786110256540596,-0.0469446800728394,-0.210117303600013,0.492508418347045,-0.492508418347045,0.436395753054854,0.0458180418001929
"266","gbr.104.24",0.543707267448189,0.213221041489172,0.186357973198884,-0.099425432862011,-0.0666401631907825,-0.219809236349965,-0.168035000367758,-0.225624558587013,-0.0869297948322532,-0.152343545293896,-0.0343328523564521,0.212020114046501,0.0379425544956879,-0.144644300523068,0.1760334821782,0.370385397686953,-0.076982023422723,-0.150075621337782,0.114486371683513,0.0789543701153526,-0.111127550273166,0.0169132833670688,0.0427131874877761,-0.0828879061036546,0.0445815822521068,0.00801397201658315,-0.0601499796306774,0.126254399516987,-0.0498308524516363,-0.138615693251755,0.0131092650328821,-0.086770165825659,-0.0860852149555832,0.0131082511684372,0.0504277158868053,-0.0866142453117035,0.314802630040279,-0.314802630040279,0.322864452747066,-0.0166248358716113
"325","gbr.106.41",0.795108732235285,0.474850280184515,0.448668484094156,-0.122232063912288,0.134632930177282,-0.252890602048412,-0.42987147106737,-0.415593011338541,-0.107319855701154,-0.277980950787065,-0.0612772634022694,0.177717754092277,0.0324030915891842,-0.122879470206488,0.196120909653978,0.459072388614807,0.216711422992903,-0.0988653335798238,0.214101972374471,0.0689727739379493,-0.057291964855253,-0.0759387651631337,-0.0941900426101707,-0.1776401138987,0.00171581922747852,-0.0470110601974332,-0.0939821175226783,0.0697159800785769,-0.113133953299896,-0.122996675085312,0.10282641478124,0.0495901976464747,-0.134173046306931,0.0601082938397094,-0.0746056666505818,-0.201249843842991,0.400276283910661,-0.400276283910661,0.384201412271225,0.00637518568561933
"328","gbr.106.47",0.647360022122341,0.253142274004857,0.339158858351041,-0.0150252545150244,0.0128688878049192,-0.213464187021592,-0.273259555671881,-0.330668466319947,-0.205768251807585,-0.168343129899796,0.16536258662897,-0.0893092684313345,-0.154003219358499,-0.107773707799526,-0.0842190526445874,0.286138799860423,0.0877055427918235,-0.0890171673245511,-0.0234620181949222,-0.102306673194556,-0.0565579286894278,0.00682193568902549,-0.038566416946125,-0.107707027715108,0.197502612946793,0.0917260776322856,0.00738105100489569,0.164213941635475,-0.127487826783474,0.0841670317331373,-0.115116561566048,-0.110157733806805,-0.147002026432081,0.0475521501598463,-0.0824786341722641,-0.0215758933282764,0.144484763940514,-0.144484763940514,0.260407538252244,-0.124918565487881
"515","gbr.110.67",0.807447348453741,0.288143151935289,0.122240321653424,-0.287792807204048,-0.137107537409362,-0.147490383828481,-0.157429672805895,-0.125300014007672,-0.0329506895981172,-0.0360445648637979,-0.0445089655023644,0.338623342748891,0.179051519891645,0.00249789178794356,0.326114704397193,0.188744163944173,-2.33000284062102e-05,-0.172590583766247,0.251304433302748,0.0929788292326998,-0.124784256293655,0.0519672364777455,-0.0163693844913984,-0.245040575196106,0.219266025314196,0.0295605538741605,-0.15230108229758,0.118836040651686,-0.0606418674240847,-0.253122352882081,0.199660513644693,0.0424589158443326,-0.0890974387073177,0.0852729968542299,-0.0362041370291735,-0.192228308667707,0.551717996801023,-0.551717996801023,0.515155414610378,0.0238433577165149
"541","gbr.111.40",0.563711789754652,0.186110116339685,0.404105673293688,0.12383947899629,0.235311385548024,-0.325992238020518,-0.322447011104296,-0.246950733291602,-0.491775540066034,-0.563217395089097,0.251059073809794,-0.248504080288262,-0.108693392651236,0.171589930262383,-0.234244991654557,0.292147660582044,0.0323158905064626,0.132304632459961,0.173172646969718,0.157212768719857,0.102097507170836,0.127519078964341,-0.0158530143000693,0.103429466592078,-0.0365164088707841,-0.0351572866091176,-0.233601999633983,0.188212336452804,0.0265887650667366,0.11040645538162,-0.206604949254311,-0.226614597192584,-0.28313705750402,-0.098502057128138,-0.232178811990459,-0.0802570568823206,0.0794533341475496,-0.0794533341475495,0.203016533573406,-0.13121011348722
"704","gbr.119.49",0.606037731819568,-0.112676988814311,0.242647117324121,0.209855710221717,0.101856418789015,-0.417602911859088,0.102683399848455,-0.176290823019814,-0.254114829065305,-0.167787146338079,-0.0424078620583684,-0.222802232217955,-0.215718847902475,-0.0507915449059938,-0.275186664388834,0.146378035544038,-0.0140871208055655,0.0681627793492149,0.0032780627618213,-0.123484072361226,-0.111795274874188,0.266626255812311,0.162660190564804,0.159375987744029,0.17333148657556,0.0105849303715429,-0.0091906767331038,-0.00814422160662258,-0.0996586468647153,-0.0966571963819593,0.0085053636393803,-0.0918482544825412,-0.104850631926804,-0.0734006613968595,-0.12480820984693,-0.146323772588657,0.115180849350318,-0.115180849350318,0.238658106926586,-0.132050823961668
"719","gbr.12.121",0.58020368397524,0.457862248672579,0.437547340640986,-0.0500007406250454,0.0494755456324835,-0.266959416258765,-0.442983202276415,-0.45286275779983,-0.0908557210538804,-0.31724066139788,-0.15487299858664,0.228099227675626,0.0260984502580717,-0.22522422637268,0.211074374786171,0.499271996434095,0.280740119162442,-0.154138705967563,0.206518206556808,0.0993327038698922,-0.024673012812036,-0.0158896436628475,-0.072822114999527,-0.190488542306394,-0.0810159929610664,-0.098302340855217,-0.161599634239508,0.0346320378135171,-0.0657101415382659,-0.154802932328097,0.0451171082811958,0.0400133746869822,-0.0643857428883167,-0.0158617964977242,0.0095030287811157,-0.159211770736068,0.406331797062284,-0.406331797062284,0.31082162861688,0.0892384039057197
"720","gbr.12.122",0.95455541014669,0.218901686069058,0.380222568025265,0.114738436790429,0.0571254446309398,-0.286432029970172,-0.212451569858101,-0.336818290422429,-0.141057419974877,-0.371268009745738,-0.124700645023016,-0.00123003540993858,-0.194076339608867,-0.272952362410399,-0.0156943100308046,0.327809261370569,0.215342420698611,-0.0695627111558791,0.186622456829143,0.0469305322238592,-0.177735614591733,0.144192458017099,0.00770192906408095,-0.0416889395957683,0.0306587024066944,-0.0533123907769147,-0.330832432496324,0.163853516311412,-0.0619718858268124,-0.143238194507661,0.197058426549362,-0.0330390566045624,-0.128105002336778,0.0309663737421294,-0.137913970375014,-0.209786725664553,0.504818693737919,-0.504818693737919,0.499498084750076,-0.0075873468457711
