gene	group
1	gbr.41.20	green
2	gbr.58.213	blue
3	gbr.35.60	grey
4	gbr.101.17_gbr.101.18	tan
5	gbr.149.14	grey
6	gbr.1.24	blue
7	gbr.11.54	blue
8	gbr.81.14	green
9	gbr.53.80	blue
10	gbr.69.3	blue
11	gbr.257.12	blue
12	gbr.50.78	yellow
13	gbr.242.10	grey
14	gbr.11.51	blue
15	gbr.24.25	grey
16	gbr.229.10	blue
17	gbr.169.31	yellow
18	gbr.12.122	pink
19	gbr.168.12	magenta
20	gbr.111.53	blue
21	gbr.425.1	blue
22	gbr.81.43	grey
23	gbr.263.12	blue
24	gbr.457.7	blue
25	gbr.29.48_gbr.29.49	tan
26	gbr.10.53	blue
27	gbr.659.4	red
28	gbr.434.1	red
29	gbr.2.247	blue
30	gbr.112.28	blue
31	gbr.360.8	blue
32	gbr.44.14	yellow
33	gbr.1.67	yellow
34	gbr.162.2	blue
35	gbr.51.3	green
36	gbr.10.151	grey
37	gbr.25.22_gbr.25.23	tan
38	gbr.114.26	blue
39	gbr.367.20	blue
40	gbr.495.9	yellow
41	gbr.24.45	green
42	gbr.154.43	grey
43	gbr.29.63	pink
44	gbr.137.64	tan
45	gbr.337.1	grey
46	gbr.134.24	grey
47	gbr.349.11	pink
48	gbr.16.69	grey
49	gbr.220.17	grey
50	gbr.10.46_gbr.10.42_gbr.10.43_gbr.10.44_gbr.10.45_gbr.10.46_gbr.10.39_gbr.10.40_gbr.10.41	green
51	gbr.13.62	green
52	gbr.17.64	yellow
53	gbr.226.24	blue
54	gbr.29.73	blue
55	gbr.389.6	grey
56	gbr.438.5	grey
57	gbr.242.12	grey
58	gbr.365.20	grey
59	gbr.151.21	blue
60	gbr.142.52	blue
61	gbr.97.46	blue
62	gbr.76.10	green
63	gbr.39.58	grey
64	gbr.58.49	blue
65	gbr.64.30	blue
66	gbr.258.9_gbr.258.8	grey
67	gbr.326.10	grey
68	gbr.641.2_gbr.641.4	blue
69	gbr.58.212	blue
70	gbr.316.3	grey
71	gbr.43.58	blue
72	gbr.46.12_gbr.46.13	blue
73	gbr.294.18	red
74	gbr.84.31	grey
75	gbr.391.5	green
76	gbr.162.9	grey
77	gbr.157.24	grey
78	gbr.237.11	blue
79	gbr.37.85	grey
80	gbr.106.50	blue
81	gbr.44.85	yellow
82	gbr.263.13_gbr.263.17	turquoise
83	gbr.47.61	pink
84	gbr.4.17	yellow
85	gbr.31.100	grey
86	gbr.553.5	pink
87	gbr.31.50	blue
88	gbr.307.17	grey
89	gbr.60.54	blue
90	gbr.3.63	pink
91	gbr.11.89	grey
92	gbr.55.5	green
93	gbr.179.30_gbr.179.25_gbr.179.31	red
94	gbr.14.116	yellow
95	gbr.3.50	tan
96	gbr.5.7	blue
97	gbr.18.31_gbr.18.32_gbr.18.30	red
98	gbr.131.13	pink
99	gbr.189.22	blue
100	gbr.93.47	grey
101	gbr.174.47	yellow
102	gbr.102.56	grey
103	gbr.50.44	red
104	gbr.204.43	grey
105	gbr.326.11	red
106	gbr.221.30	yellow
107	gbr.216.31	blue
108	gbr.139.44	green
109	gbr.8.70	blue
110	gbr.338.13	blue
111	gbr.34.84	pink
112	gbr.645.1_gbr.645.3_gbr.645.4	green
113	gbr.4.52	pink
114	gbr.203.3	grey
115	gbr.132.11	green
116	gbr.6.164	grey
117	gbr.113.10	grey
118	gbr.4.114	green
119	gbr.104.77_gbr.104.79	green
120	gbr.143.37	grey
121	gbr.46.84	blue
122	gbr.209.7	red
123	gbr.7.128	blue
124	gbr.24.41_gbr.24.42	brown
125	gbr.14.70	blue
126	gbr.274.31	blue
127	gbr.5.102	tan
128	gbr.218.35	red
129	gbr.6.91	grey
130	gbr.48.3	grey
131	gbr.41.7	blue
132	gbr.226.10	grey
133	gbr.8.78	red
134	gbr.38.35	blue
135	gbr.37.112	yellow
136	gbr.18.48	blue
137	gbr.112.51	cyan
138	gbr.188.34	grey
139	gbr.235.4	grey
140	gbr.101.45	grey
141	gbr.56.118	tan
142	gbr.183.50	grey
143	gbr.266.13	green
144	gbr.142.28	yellow
145	gbr.29.20	blue
146	gbr.519.7	green
147	gbr.317.19	grey
148	gbr.332.7	pink
149	gbr.2.249	grey
150	gbr.17.53_gbr.17.52	green
151	gbr.87.45	blue
152	gbr.8.134	green
153	gbr.47.76	blue
154	gbr.171.2	yellow
155	gbr.105.1	green
156	gbr.117.1_gbr.117.2	magenta
157	gbr.216.8	grey
158	gbr.100.39	grey
159	gbr.83.50	grey
160	gbr.207.31	grey
161	gbr.227.10	yellow
162	gbr.26.87	yellow
163	gbr.197.7_gbr.197.8	green
164	gbr.87.18	red
165	gbr.47.73	green
166	gbr.232.41_gbr.232.42	green
167	gbr.58.138	red
168	gbr.2.61	grey
169	gbr.98.25	grey
170	gbr.75.20_gbr.75.21	turquoise
171	gbr.151.45_gbr.151.46	grey
172	gbr.151.73_gbr.151.72	grey
173	gbr.24.76_gbr.24.83	red
174	gbr.81.67	grey
175	gbr.314.36	red
176	gbr.428.6	grey
177	gbr.519.9	grey
178	gbr.78.8	blue
179	gbr.95.37_gbr.95.38	grey
180	gbr.72.110	pink
181	gbr.6.194	grey
182	gbr.110.10	yellow
183	gbr.219.35	grey
184	gbr.3.62	pink
185	gbr.164.31	grey
186	gbr.229.12	grey
187	gbr.406.3	grey
188	gbr.556.4	turquoise
189	gbr.87.3	blue
190	gbr.264.31_gbr.264.32_gbr.264.33	tan
191	gbr.40.90_gbr.40.91	salmon
192	gbr.486.17	grey
193	gbr.207.30	blue
194	gbr.47.31_gbr.47.32	pink
195	gbr.328.26	grey
196	gbr.31.54	grey
197	gbr.1.216	grey
198	gbr.167.4	blue
199	gbr.21.19	greenyellow
200	gbr.39.56	yellow
201	gbr.52.48	yellow
202	gbr.178.30	grey
203	gbr.114.27	grey
204	gbr.428.15	grey
205	gbr.213.24	blue
206	gbr.289.10	green
207	gbr.113.13	blue
208	gbr.137.62	blue
209	gbr.60.53	blue
210	gbr.154.22	grey
211	gbr.40.26	grey
212	gbr.342.24	blue
213	gbr.202.20	yellow
214	gbr.83.58	grey
215	gbr.15.36	red
216	gbr.10.137	red
217	gbr.185.19	brown
218	gbr.265.24	pink
219	gbr.360.26_gbr.360.27	grey
220	gbr.90.100	grey
221	gbr.162.31	blue
222	gbr.161.1	blue
223	gbr.84.55	grey
224	gbr.491.6	red
225	gbr.89.1	grey
226	gbr.229.21	pink
227	gbr.22.43	grey
228	gbr.531.10	blue
229	gbr.64.5_gbr.64.6	green
230	gbr.448.1	yellow
231	gbr.106.52	grey
232	gbr.28.38_gbr.28.39	green
233	gbr.103.15	grey
234	gbr.35.18	grey
235	gbr.352.17	blue
236	gbr.2.24	turquoise
237	gbr.50.95	pink
238	gbr.188.3	red
239	gbr.665.4	grey
240	gbr.448.8	yellow
241	gbr.111.59	grey
242	gbr.304.2	green
243	gbr.36.77	grey
244	gbr.1.105	grey
245	gbr.84.21_gbr.84.22	grey
246	gbr.11.70	grey
247	gbr.136.11	yellow
248	gbr.446.2	pink
249	gbr.379.9	grey
250	gbr.52.56	pink
251	gbr.393.3_gbr.393.4	grey
252	gbr.337.2	grey
253	gbr.19.165	grey
254	gbr.35.6	yellow
255	gbr.218.34	red
256	gbr.162.33	grey
257	gbr.75.37	grey
258	gbr.10.147	blue
259	gbr.151.32	green
260	gbr.35.71	red
261	gbr.607.1	grey
262	gbr.176.1	cyan
263	gbr.162.30	blue
264	gbr.79.13	turquoise
265	gbr.6.76	red
266	gbr.22.3	blue
267	gbr.226.13	brown
268	gbr.80.35_gbr.80.36	blue
269	gbr.28.13	brown
270	gbr.154.34	grey
271	gbr.162.34	green
272	gbr.184.20	blue
273	gbr.282.25	yellow
274	gbr.124.11	grey
275	gbr.40.5	grey
276	gbr.85.35	brown
277	gbr.116.33	yellow
278	gbr.80.2	turquoise
279	gbr.429.3	turquoise
280	gbr.58.21	grey
281	gbr.35.36	brown
282	gbr.541.4_gbr.541.5	tan
283	gbr.402.2	yellow
284	gbr.50.45	turquoise
285	gbr.137.18	grey
286	gbr.409.4	turquoise
287	gbr.3.132	yellow
288	gbr.97.37	turquoise
289	gbr.330.8	red
290	gbr.60.103	blue
291	gbr.260.17	grey
292	gbr.334.4	grey
293	gbr.159.10_gbr.159.11	grey
294	gbr.183.63	grey
295	gbr.205.52	greenyellow
296	gbr.50.48	blue
297	gbr.134.40	green
298	gbr.314.34	blue
299	gbr.117.34	blue
300	gbr.72.68	grey
301	gbr.38.58	cyan
302	gbr.8.115	grey
303	gbr.159.9	grey
304	gbr.1.150	pink
305	gbr.88.30	grey
306	gbr.211.25	turquoise
307	gbr.444.16	blue
308	gbr.357.10	green
309	gbr.75.45	tan
310	gbr.311.7	grey
311	gbr.12.44	blue
312	gbr.56.50	green
313	gbr.318.27	tan
314	gbr.11.187	blue
315	gbr.76.53	grey
316	gbr.124.42	grey
317	gbr.356.15	turquoise
318	gbr.259.27	grey
319	gbr.89.36	green
320	gbr.107.38	blue
321	gbr.80.20	grey
322	gbr.61.13	blue
323	gbr.184.21	yellow
324	gbr.94.50	red
325	gbr.384.6	grey
326	gbr.11.100	grey
327	gbr.60.63	grey
328	gbr.71.33_gbr.71.34	pink
