nodeName	altName	nodeAttr[nodesPresent, ]
gbr.263.13_gbr.263.17	RNA-binding protein Musashi homolog 2-like isoform X11	turquoise
gbr.75.20_gbr.75.21	calcium/calmodulin-dependent protein kinase type II delta chain-like	turquoise
gbr.556.4	radixin isoform X1	turquoise
gbr.2.24	stress-activated protein kinase JNK-like isoform X3	turquoise
gbr.79.13	B-cell lymphoma/leukemia 11A-like	turquoise
gbr.80.2	CTD small phosphatase-like protein 2 isoform X1	turquoise
gbr.429.3	microtubule-associated protein 1B-like isoform X1	turquoise
gbr.50.45	neuroblast differentiation-associated protein AHNAK-like	turquoise
gbr.409.4	Krueppel-like factor 6	turquoise
gbr.97.37	protein PRRC2C-like	turquoise
gbr.211.25	AT-rich interactive domain-containing protein 1B-like isoform X5	turquoise
gbr.356.15	lysine-specific demethylase 4C-like isoform X1	turquoise
gbr.480.9	basic salivary proline-rich protein 3-like	turquoise
gbr.48.34	serine/threonine-protein kinase MRCK alpha isoform X1	turquoise
gbr.222.14	semaphorin-1A-like isoform X10	turquoise
gbr.89.3	lysine-specific demethylase 5A-like	turquoise
gbr.247.28_gbr.247.25	neurabin-1-like isoform X6	turquoise
gbr.360.20_gbr.360.21	pumilio homolog 2-like isoform X1	turquoise
gbr.18.55_gbr.18.53_gbr.18.56	E3 ubiquitin-protein ligase MIB1 isoform X3	turquoise
gbr.59.54_gbr.59.53	G patch domain-containing protein 8-like isoform X3	turquoise
gbr.58.3	msx2-interacting protein isoform X1	turquoise
gbr.183.52	G protein-coupled receptor kinase 5 isoform X1	turquoise
gbr.437.1_gbr.437.2	protein kinase C beta type isoform X2	turquoise
gbr.111.51	PHD and RING finger domain-containing protein 1 isoform X1	turquoise
gbr.195.17	thrombospondin type-1 domain-containing protein 4	turquoise
gbr.379.8	cysteine and histidine-rich protein 1 homolog	turquoise
gbr.137.24	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	turquoise
gbr.4.76	Ecdysone receptor	turquoise
gbr.288.10	UPF0472 protein C16orf72 homolog	turquoise
gbr.48.67	thyroid receptor-interacting protein 11-like isoform X2	turquoise
gbr.110.82	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like isoform X1	turquoise
gbr.7.115	putative ATP-dependent RNA helicase Pl10 isoform X1	turquoise
gbr.140.36_gbr.140.37	RING finger protein 44-like isoform X2	turquoise
gbr.385.8	septin-7-like isoform X6	turquoise
gbr.229.22	formin-binding protein 1-like isoform X4	turquoise
gbr.496.1	cyclin-dependent kinase 10	turquoise
gbr.12.94_gbr.12.95	serine/threonine-protein kinase D3 isoform X1	turquoise
gbr.25.224	serine/arginine repetitive matrix protein 1-like isoform X1	turquoise
gbr.466.39	predicted protein	turquoise
gbr.283.30	non-POU domain-containing octamer-binding protein-like isoform X3	turquoise
gbr.71.8	casein kinase I-like isoform X1	turquoise
gbr.23.47_gbr.23.43	neurobeachin-like isoform X5	turquoise
